Group,OSF,AB,Ai,Am,Av,B,Pm
OSF,0,0.24836721619226876,0.954129522706143,0.3815723399442448,0.9859434612677151,0.15120803021086815,0.5278843810076923
AB,0.24836721619226876,0,1.2126087247209723e-5,0.03302868302792963,3.200660238838328e-5,1.3352063325038114e-9,9.208740179785582e-8
Ai,0.954129522706143,1.2126087247209723e-5,0,9.103464770958714e-6,4.786539761541607e-15,2.455721421744307e-4,1.6566905266479272e-6
Am,0.3815723399442448,0.03302868302792963,9.103464770958714e-6,0,6.577927506510535e-6,0.08091936340802769,0.01050394682241515
Av,0.9859434612677151,3.200660238838328e-5,4.786539761541607e-15,6.577927506510535e-6,0,7.74361560619469e-4,7.285317514582781e-7
B,0.15120803021086815,1.3352063325038114e-9,2.455721421744307e-4,0.08091936340802769,7.74361560619469e-4,0,6.12948834195203e-5
Pm,0.5278843810076923,9.208740179785582e-8,1.6566905266479272e-6,0.01050394682241515,7.285317514582781e-7,6.12948834195203e-5,0
