from,to,weight,correlation,pvalue,significant
OSF,AB,0.33055385483828265,-0.33055385483828265,0.24836721619226876,FALSE
OSF,B,0.40468196880208357,-0.40468196880208357,0.15120803021086815,FALSE
AB,Ai,0.8695491283747452,0.8695491283747452,1.2126087247209723e-5,TRUE
AB,Am,0.5342319069099476,0.5342319069099476,0.03302868302792963,TRUE
AB,Av,0.8489137610556566,0.8489137610556566,3.200660238838328e-5,TRUE
AB,B,0.9658195099372273,0.9658195099372273,1.3352063325038114e-9,TRUE
AB,Pm,0.9367184782166517,-0.9367184782166517,9.208740179785582e-8,TRUE
Ai,Am,0.87505637306180994,0.87505637306180994,9.103464770958714e-6,TRUE
Ai,Av,0.9943615472163939,0.9943615472163939,4.786539761541607e-15,TRUE
Ai,B,0.7932702646555081,0.7932702646555081,2.455721421744307e-4,TRUE
Ai,Pm,0.9031228176629672,-0.9031228176629672,1.6566905266479272e-6,TRUE
Am,Av,0.881002914331243,0.881002914331243,6.577927506510535e-6,TRUE
Am,B,0.4491757216857906,0.4491757216857906,0.08091936340802769,FALSE
Am,Pm,0.6193952222789744,-0.6193952222789744,0.01050394682241515,TRUE
Av,B,0.7522596783165856,0.7522596783165856,7.74361560619469e-4,TRUE
Av,Pm,0.9142222275445756,-0.9142222275445756,7.285317514582781e-7,TRUE
B,Pm,0.8331697823305828,-0.8331697823305828,6.12948834195203e-5,TRUE
