Component,Variance_Explained,Cumulative_Variance
PC1,88.884,88.884
PC2,8.86,97.744
PC3,1.371,99.115
PC4,0.8710000000000001,99.98599999999999
PC5,0.009000000000000001,99.995
PC6,0.005,100
PC7,0,100
