Mixture,Treg,Myofibroblasts,Macrophages,Epithelial,CD4+T_cells,NK,Plasma,B_cells,DCs,Endothelial,Tprolif,CD8+T_cells,Fibroblasts,Monocytes,Mast,Myocytes,P-value,Correlation,RMSE
B_1,0.00503466441683104,0.0206489296969725,0.0434427326246283,0.395586309046419,0,0,0.020709230605578,0,0.027381895217386,0.0206571111192241,0.00598603320409907,0.00626039599394783,0.0362272108337175,0,4.10963709053849e-05,0.418024390870291,0,0.430222902795247,1.04473559695201
B_2,0,0.0504684815865994,0.217056288533167,0.00782763966842016,0,0,0.00624000671553863,0.0104058549435273,0,0.0369467368383176,0.065190193746385,0.0485490802008905,0.0688485918389781,0,0.00924713320572306,0.479219992722453,0,0.785331674617313,0.660211509089677
B_3,0,0.0266366518683779,0.0455317549609531,0.0314239530779392,0,0,0,0,0.00503938414698408,0.0320777977130043,0.031359044847071,0.00705202585381046,0.0295920002339936,0,0,0.791287387297866,0,0.860366219096219,0.883930370344912
Av_4,0,0.0207699135918994,0.00839494304330779,0.124373372074893,0,0,4.86834312669195e-05,0,0.0002921263685496,0.0193536885487499,0.0124841547722804,0.00114747230464059,0.0204824643088323,0,0,0.79265318155558,0,0.778921887974174,1.02261094304373
Av_2,0.000114508044934769,0.017517453121634,0.00222979428541196,0.050713649792687,0,0,0.0013629406818742,0,0.00466554816802414,0.0201479004502064,0.00360526153099322,0.00171969312564108,0.0155175456584061,0,0,0.882405705140187,0,0.828723991154321,1.08399148026456
Av_3,0,0.00427765706122619,0.010575066644398,0.446628806420614,0,0,0,0,0.00806540569287219,0.00447691654853101,0.0887045293218927,0,0.0236291417298251,0,0.000382141392578794,0.413260335188062,0,0.38810648606111,1.08744011128984
AB_2,0,0.000877969772775776,0.0803604718184107,0.297013627407279,0,0,0.00838795372929092,0,0.0143955720884132,0.0164589346364466,0.0246434333839502,0.0121202820330979,0.094663724653212,0,4.37150644589444e-05,0.451034315412665,0,0.55126190704721,0.939227222335117
AB_4,0.0133531998730212,0.0144707372870829,0.0551796050689535,0.169872524933889,0,0,0,0,0.0230723771707311,0.026861354310107,0.0133484340492981,0.00507480690544197,0.0435016576796598,0,0.000845194771419184,0.634420107950396,0,0.749427321120733,0.855977648713741
AB_1,0.00199296490337153,0.0402245520377382,0.0348110676969808,0.0600709492088451,0,0,0.000433227262224794,0,0.0215414549039576,0.0217533981156988,0.0134421572480113,0.00187715394925919,0.0454388936665162,0,0,0.758414181007396,0,0.827429733790438,0.892030295120734
Am_1,0,0.0168208438122965,0.00251623392029258,0.0606006926252746,0,0,0.000376937698687357,0,0.00269654988644565,0.019910578174186,0.00312006879869069,0,0.0139410490355157,0,0,0.880017046048611,0,0.831232551254768,1.07616227104857
Am_2,0.00127711830944451,0.0126110980452006,0.00435928441281964,0.0545159676838315,0,0,0,0,0.00239925335111908,0.014139657832005,0.000542887216526043,0.00153145474045712,0.0146893966343407,0,0,0.893933881774256,0,0.833456666681174,1.09578644209851
Am_3,0,0.012504696726089,0.00771223846268504,0.323054181278944,0,0,0,0,0.00228808837244517,0.00993814618587262,0.049572306689427,0,0.0197378001221458,0,0.000973271281363611,0.574219270881028,0,0.49830074829971,1.11763036558962
Pm_3,0,0.0143307913818977,0.00451239432746201,0.0745228407273054,0,0,0.000342210790096903,0,0.0030913061484375,0.0176325022451602,0.00527555955634356,0,0.0164709467629451,0,0,0.863821448060352,0,0.821923965889896,1.06493866556907
Pm_1,0,0.013198856564816,0.00322104042563027,0.0921180542854518,0,0,0,0,0.00348809038742019,0.0145762825189335,0.00475991254448293,0.00134405651807816,0.00933399386103233,0,0,0.857959712894155,0,0.813754315092172,1.0689602277845
Ai_1,0.000474008315044953,0.0189861292390212,0.0118904540342011,0.121066370110925,0,0,0,0,0.000299725783672414,0.01938093178641,0.00275737334070142,0.00466854800600676,0.0225716638474073,0,0,0.79790479553661,0,0.773696591624188,1.03888761955816
PBS_2,0.000462531923568654,0.0264799296582015,0.00593064444554276,0.0227823258614875,0,0,9.97681432611805e-06,0,0.00291562705813386,0.0210434813555212,0.000844024954314602,0.00212330520919649,0.0175574824753199,0,0,0.899850670244387,0,0.826101395999256,1.11753474202426
PBS_3,0,0.00802556600048061,0.00749211748230197,0.305225853677051,0,0,0,0,0.00382466181368191,0.0074879529843394,0.0127959143935125,0.00156683663708037,0.0256475425679805,0,0.00172755879970853,0.626205995643863,0,0.575431714437825,1.09078478411736
PBS_4,0.000204055830891114,0.0216880414937318,0.00660964424396178,0.0353499920604675,0,0,0.000563335814997189,0,0.00280255862270779,0.0158930876943665,0.00108562752770355,0.00190351603356464,0.045970663183384,0,0,0.867929477494224,0,0.830708820145508,1.05753764829882
Ai_2,0.00260713666406085,0.0163385429944227,0.0122128961328599,0.0383420138253722,0,0,0.00624905813715945,0,0.00929131321721652,0.0202888153539029,0.00909153494281649,0.00636822439215321,0.0320324390769071,0,0,0.847178025263129,0,0.828684464656328,1.0263704416403
Ai_3,0,0.00678867944703993,0.00618039741220609,0.322928093754863,0,0,0,0,5.38364033490384e-05,0.0104124671084794,0.0518250719231962,0,0.0128958386130728,0,0,0.588915615337794,0,0.490748543324589,1.14254699340538
