Group,R2,F_value,p_value
AB,0.9999999999999997,NA,NA
Ai,0.9999999999999998,NA,NA
Am,0.9999999999999996,NA,NA
Av,0.9999999999999997,NA,NA
B,0.9999999999999997,NA,NA
Pm,0.9999999999999997,NA,NA
