Group,Bray_Curtis_Similarity,Bray_Curtis_Dissimilarity,Aitchison_Similarity,Aitchison_Distance,Cosine_Similarity,Euclidean_Similarity,Euclidean_Distance,Average_Similarity
Ai,0.3590666349585022,0.6409333650414978,0.10987526055729802,18.20347127896223,0.9796102918995211,0.6591932326782982,14.367979860826951,0.5269363550234049
Av,0.3995129615530696,0.6004870384469304,0,20.450472245450943,0.9758621727184879,0.6366302259971943,15.319207526115045,0.503001340067188
Am,0.3120676695441664,0.6879323304558336,0.018299683922959997,20.076235067283925,0.979319398500394,0.6657086818694327,14.09329680949512,0.49384885845923826
Pm,0.21742852996787598,0.782571470032124,0.052556815601947804,19.375660546674027,0.9673515944819305,0.56768469530244,18.22586341297183,0.45125540883854853
AB,0.46183922114008047,0.5381607788599195,0.04433056031400895,19.543891352124014,0.9265464214003803,0.30709910453780975,29.211820498130585,0.4349538268480699
B,0.44183240430379067,0.5581675956962093,0.05744294263039618,19.275736941490994,0.8161098226297202,0,42.15872816652262,0.32884629239097674
