"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Apold1","Streptococcus",-0.572727272727273,0.0655430526010186,0.905240566315289,4,1
"Ifitm1","Corynebacterium",-0.572727272727273,0.0655430526010186,0.905240566315289,4,1
"Nfil3","Corynebacterium",-0.563636363636364,0.0709517344763755,0.905240566315289,4,1
"Nfil3","Streptococcus",-0.554545454545455,0.0766523333397826,0.905240566315289,4,1
"Gbp2","Corynebacterium",-0.554545454545455,0.0766523333397826,0.905240566315289,4,1
"Ncapg","Geobacillus",-0.545454545454545,0.0826509573441752,0.905240566315289,4,-1
"Ifit1","Corynebacterium",-0.545454545454545,0.0826509573441752,0.905240566315289,4,1
"Csn3","Streptococcus",0.537586816142282,0.0880875306786812,0.905240566315289,2,1
"Psme2","Pseudomonas",0.536363636363636,0.0889534181359628,0.905240566315289,2,1
"Thbs1","Staphylococcus",-0.536363636363636,0.0889534181359628,0.905240566315289,4,1
"Scoc","Streptococcus",-0.536363636363636,0.0889534181359628,0.905240566315289,4,1
"Pmaip1","Streptococcus",-0.536363636363636,0.0889534181359628,0.905240566315289,4,1
"Thbs1","Brevibacillus",0.527272727272727,0.0955652183531543,0.905240566315289,4,-1
"Cmah","Bacteroides",0.527272727272727,0.0955652183531543,0.905240566315289,4,-1
"Arc","Corynebacterium",-0.527272727272727,0.0955652183531543,0.905240566315289,4,1
"Ccnb1","Bacteroides",0.518181818181818,0.102491539790964,0.905240566315289,4,-1
"Pbk","Bacteroides",0.518181818181818,0.102491539790964,0.905240566315289,4,-1
"Rpusd4","Brevibacillus",-0.509090909090909,0.109737232241657,0.905240566315289,2,-1
"Ifitm1","Prevotellaceae_UCG-001",0.509090909090909,0.109737232241657,0.905240566315289,4,-1
"Ifi44","Bacteroides",0.509090909090909,0.109737232241657,0.905240566315289,4,-1
"Pbk","Corynebacterium",-0.509090909090909,0.109737232241657,0.905240566315289,4,1
"Ccnb1","Geobacillus",-0.5,0.117306803014238,0.905240566315289,4,-1
"Nfil3","Alloprevotella",0.5,0.117306803014238,0.905240566315289,4,-1
"Pmaip1","Alloprevotella",0.5,0.117306803014238,0.905240566315289,4,-1
"Ncapg","Bacteroides",0.5,0.117306803014238,0.905240566315289,4,-1
"Nusap1","Streptococcus",-0.490909090909091,0.125204407138495,0.905240566315289,4,1
"Chordc1","Streptococcus",-0.490909090909091,0.125204407138495,0.905240566315289,4,1
"Pbk","Alloprevotella",0.490909090909091,0.125204407138495,0.905240566315289,4,-1
"Nusap1","Alloprevotella",0.490909090909091,0.125204407138495,0.905240566315289,4,-1
