"EG_DB_up","EG_DB_down","rna_sample","Group","Replicate"
-6.86197520247205,5.87783732783296,"WTN1_BO","WT_Control",1
-5.54668063173504,3.56005228756866,"WTN2_BO","WT_Control",2
-9.22306399654243,5.53283415135951,"WTN3_BO","WT_Control",3
-2.54680995568974,8.05767498928029,"WTS1_BO","WT_Treated",1
-6.38372767074057,3.45301069645284,"WTS2_BO","WT_Treated",2
4.61917267399464,0.23316294074332,"WTS3_BO","WT_Treated",3
8.26472776274959,-6.54616698259347,"dbN1_BO","DB_Control",1
13.3266821002436,-8.80563469490479,"dbN2_BO","DB_Control",2
12.9493126250468,-9.40207642213265,"dbN3_BO","DB_Control",3
-1.35043856696006,-1.32221488795155,"dbS1_BO","DB_Treated",1
-1.68459408878397,-1.44574049484437,"dbS2_BO","DB_Treated",2
-5.5626050491108,0.80726108918924,"dbS3_BO","DB_Treated",3
