"Genus","mean_wt","mean_db","mean_trt","delta_disease","delta_treat","rescue_score","is_rescue_dir"
"Blautia",0.571955043730386,0.255415914278349,0.974456489439535,-0.316539129452037,0.719040575161187,2.27156932037414,TRUE
"Clostridia_vadinBB60_group",0.592619159548583,1.02868820367482,0.0897882764165763,0.436069044126238,-0.938899927258245,2.1530992394554,TRUE
"Parabacteroides",-0.128767256994811,-0.6602141463083,0.267646412914461,-0.531446889313489,0.927860559222761,1.74591399042969,TRUE
"Alistipes",2.51113159571621,3.22247400566977,2.2781312167903,0.711342409953558,-0.94434278887947,1.32755024256339,TRUE
"Enterorhabdus",0.0948444980834677,-0.268611832980236,0.157324807076966,-0.363456331063704,0.425936640057202,1.17190595858006,TRUE
"Akkermansia",-1.27306182437188,-4.2795740359784,-0.919169496248984,-3.00651221160651,3.36040453972941,1.11770859494823,TRUE
"Turicibacter",1.65612028693561,0.748464886556098,1.68087798614088,-0.907655400379513,0.932413099584782,1.02727654040831,TRUE
"Dubosiella",0.430066247314882,-4.23407963906747,-0.470901332343414,-4.66414588638235,3.76317830672406,0.80683117518069,TRUE
"Helicobacter",2.63784685940667,4.28745670322458,3.103789465355,1.64960984381791,-1.18366723786958,0.717543752727652,TRUE
"Odoribacter",-0.46058343654031,0.0173627845953822,-0.324523642793936,0.477946221135692,-0.341886427389318,0.715324051682907,TRUE
"Alloprevotella",0.008222266520901,1.6398916315296,0.558279330846436,1.6316693650087,-1.08161230068317,0.662886932780894,TRUE
"Clostridium_sensu_stricto_1",1.73498117389939,0.00820765583102053,0.98227308108493,-1.72677351806837,0.97406542525391,0.56409564720655,TRUE
"Eubacterium_xylanophilum_group",0.389314129110364,0.849723493850193,0.590956639067065,0.460409364739829,-0.258766854783128,0.562036471454819,TRUE
"Faecalibacterium",-1.76004299608187,-2.68656175288578,-2.20059830944821,-0.926518756803916,0.485963443437567,0.524504700923625,TRUE
"ASF356",-3.84224386812174,1.59291811855033,-0.974715520413612,5.43516198667207,-2.56763363896394,0.472411612618025,TRUE
"Ralstonia",-0.00954469515710906,-2.31373527106216,-1.29908573128579,-2.30419057590505,1.01464953977638,0.440349661345975,TRUE
"Bifidobacterium",1.38483465518371,-0.194270883124296,0.498171208355198,-1.57910553830801,0.692442091479494,0.43850273124964,TRUE
"Mucispirillum",0.207061741995382,3.18155917451967,2.05786169994643,2.97449743252429,-1.12369747457324,0.377777254835154,TRUE
"Roseburia",-0.814129456767199,1.99887916320539,0.959186045089603,2.81300861997259,-1.03969311811579,0.369601824443012,TRUE
"Coriobacteriaceae_UCG-002",2.02460408621211,-2.50822641663068,-0.897951161464848,-4.53283050284279,1.61027525516583,0.355247180355836,TRUE
"Candidatus_Arthromitus",-1.09558005804708,4.53854640625475,2.63931269948032,5.63412646430182,-1.89923370677443,0.337094617738542,TRUE
