"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL14",1.40252263981176e-31,0.284282058117757,0.996,0.988,2.80504527962352e-27
"PA2G4",2.69652490904858e-31,0.283638288818993,0.639,0.433,5.39304981809715e-27
"HMGN1",7.11407878527577e-23,0.283396495468925,0.886,0.765,1.42281575705515e-18
"CD1A",1.29870913940552e-10,0.282866183400513,0.144,0.072,2.59741827881104e-06
"CFL1",5.25398849650269e-44,0.282669120968725,1,0.997,1.05079769930054e-39
"CAPG",1.51671426670661e-13,0.282490197780111,0.951,0.883,3.03342853341321e-09
"HNRNPA1",7.72508763888003e-27,0.282361830564958,0.977,0.933,1.54501752777601e-22
"PSME1",2.6882751515179e-26,0.28113286176773,0.944,0.845,5.3765503030358e-22
"PPP1R14A",1.00285120089064e-10,0.280761045117948,0.152,0.079,2.00570240178129e-06
"TUFM",1.55750977758371e-30,0.277862075630822,0.767,0.558,3.11501955516742e-26
"CYC1",2.10344920128668e-27,0.277738979035246,0.75,0.572,4.20689840257337e-23
"ARPC2",7.52154585424313e-38,0.277099238774042,0.993,0.98,1.50430917084863e-33
"ATP5G2",1.07496547536121e-27,0.276928848384757,0.968,0.894,2.14993095072242e-23
"ATP5F1",1.64162870212238e-27,0.275787739392308,0.811,0.645,3.28325740424477e-23
"NDRG2",1.67819477440738e-15,0.274666414105581,0.307,0.184,3.35638954881477e-11
"LSM4",1.61522186841329e-23,0.274427219386987,0.713,0.528,3.23044373682659e-19
"UBE2L6",1.63408454270034e-24,0.273613677389974,0.775,0.596,3.26816908540068e-20
"C14orf166",1.50086904999855e-30,0.273418968710651,0.763,0.561,3.00173809999709e-26
"PPIB",3.2978726438286e-24,0.273346112790487,0.96,0.861,6.59574528765719e-20
"PGAM1",7.78061444878908e-23,0.27154665501841,0.859,0.74,1.55612288975782e-18
"HLA-DQB1",7.00640068389271e-12,0.27039354851229,0.979,0.946,1.40128013677854e-07
"IL32",0.0173901430437267,0.270035739412387,0.599,0.537,1
"PSMB1",1.66358668324519e-27,0.26973599769389,0.905,0.797,3.32717336649038e-23
"PHB2",1.77838700692821e-33,0.268434058722232,0.652,0.425,3.55677401385643e-29
"ATP5G1",1.88793150277167e-26,0.267806580614447,0.722,0.526,3.77586300554334e-22
"TWF2",2.17541682393653e-25,0.266378153280266,0.74,0.56,4.35083364787306e-21
"PDIA6",6.4268756353294e-23,0.265413870327124,0.821,0.652,1.28537512706588e-18
"PRELID1",3.7784591563205e-20,0.264392053366202,0.938,0.857,7.556918312641e-16
"RPL7A",6.96109105866805e-30,0.264082781937838,0.995,0.991,1.39221821173361e-25
"EIF3K",2.22027281276144e-29,0.26391849775273,0.96,0.898,4.44054562552288e-25
"EEF1B2",1.34990981951426e-24,0.263425450719176,0.974,0.923,2.69981963902851e-20
"RPL10A",2.10958023862852e-25,0.262655391389255,0.996,0.984,4.21916047725704e-21
"CD1C",2.86779310603798e-18,0.262604337189527,0.256,0.128,5.73558621207596e-14
"ATP5O",1.34638142431011e-25,0.26220691372496,0.905,0.784,2.69276284862021e-21
"HIST1H4C",7.55265766753949e-09,0.262125606804746,0.374,0.266,0.00015105315335079
"PSMA7",6.97173917584479e-30,0.259884043655293,0.971,0.923,1.39434783516896e-25
"HMGB2",1.64026549860849e-15,0.259590641349486,0.583,0.419,3.28053099721697e-11
"SRSF7",5.73102516722206e-18,0.259580483739765,0.736,0.563,1.14620503344441e-13
"NDUFS8",6.70673275168987e-27,0.259547373698342,0.811,0.63,1.34134655033797e-22
"PHB",2.52946497249776e-31,0.259311747744017,0.658,0.449,5.05892994499553e-27
"ANP32B",5.45057996759372e-20,0.258741135601796,0.751,0.589,1.09011599351874e-15
"IGSF6",7.47919600467088e-12,0.258695068809439,0.819,0.699,1.49583920093418e-07
"SERBP1",7.45522784931896e-24,0.258181847861738,0.798,0.639,1.49104556986379e-19
"RNH1",4.5360891463858e-23,0.258032671979947,0.857,0.706,9.0721782927716e-19
"PFDN2",5.08692288547853e-29,0.257764368788952,0.743,0.534,1.01738457709571e-24
"CD300A",1.93947649939957e-21,0.256514093293245,0.588,0.403,3.87895299879913e-17
"TAP1",2.72017551541369e-17,0.256356058917619,0.719,0.556,5.44035103082739e-13
"ECHS1",3.74096105470824e-28,0.255960176150226,0.673,0.472,7.48192210941648e-24
"CLEC10A",2.916621105025e-06,0.255834199049719,0.37,0.296,0.0583324221005
"H2AFY",9.05937242841608e-24,0.25548612939174,0.913,0.79,1.81187448568322e-19
"SUB1",4.18405105825747e-21,0.254994592300083,0.978,0.929,8.36810211651493e-17
"BANF1",2.65144256209447e-26,0.254198620528247,0.806,0.627,5.30288512418895e-22
"CAPZB",8.94399998046982e-21,0.253693244558181,0.963,0.898,1.78879999609396e-16
"CALM2",1.63424637120696e-19,0.253333123145818,0.955,0.9,3.26849274241391e-15
"SNRPE",7.80563724335409e-25,0.252308651133255,0.778,0.586,1.56112744867082e-20
"ATP5D",4.6381044873618e-25,0.251937186010176,0.932,0.8,9.27620897472359e-21
"HINT1",1.32328779703381e-25,0.25177303296827,0.958,0.89,2.64657559406762e-21
"VDAC1",8.51753788070154e-23,0.25029176122977,0.8,0.646,1.70350757614031e-18
"SNRPG",1.67935725150886e-21,0.250250738893302,0.874,0.752,3.35871450301772e-17
"DUT",1.02206729802189e-22,0.25015423388508,0.56,0.367,2.04413459604378e-18
"SNX17",1.02683345957776e-28,0.249869825260941,0.644,0.438,2.05366691915552e-24
"SNRPB",4.90810239077989e-22,0.249189507071018,0.874,0.765,9.81620478155977e-18
"SDHB",3.44877502497741e-21,0.248964723895138,0.745,0.572,6.89755004995481e-17
"RPS5",4.03766782612211e-24,0.248505721756987,0.998,0.983,8.07533565224421e-20
"PTPN6",6.40233461714871e-20,0.248291098191985,0.69,0.516,1.28046692342974e-15
"CD52",1.38695293474026e-09,0.24813699222707,0.666,0.553,2.77390586948052e-05
"SNRPD1",2.07386679470034e-27,0.248052587585097,0.722,0.52,4.14773358940068e-23
"FABP5",3.55768894898464e-08,0.24697808627585,0.885,0.802,0.000711537789796927
"VPS29",1.58416292890764e-23,0.246551646250629,0.836,0.67,3.16832585781529e-19
"ABI3",1.84667140205002e-21,0.245129625380219,0.612,0.418,3.69334280410004e-17
"PKIB",8.71109472952812e-15,0.245036558617025,0.397,0.254,1.74221894590562e-10
"ILF2",2.6479159977453e-27,0.245032787347804,0.641,0.434,5.2958319954906e-23
"KIAA0101",5.85587733016658e-16,0.24464157799422,0.17,0.075,1.17117546603332e-11
"MRPL12",9.74443767642342e-29,0.244485547854544,0.54,0.338,1.94888753528468e-24
"PPP1R14B",6.78743835260863e-27,0.243842173561696,0.497,0.301,1.35748767052173e-22
"TOMM22",8.54156765068835e-25,0.243522608477978,0.673,0.478,1.70831353013767e-20
"PPP1CA",8.04496249299697e-24,0.242944080687289,0.886,0.787,1.60899249859939e-19
"MDH1",1.57443893733148e-26,0.242921424198118,0.635,0.442,3.14887787466295e-22
"FKBP1A",4.3936351879195e-23,0.242881326869824,0.963,0.884,8.787270375839e-19
"NCL",4.98119053197408e-20,0.24190677895729,0.734,0.566,9.96238106394815e-16
"DCTPP1",2.71443895087352e-34,0.241602587322187,0.461,0.245,5.42887790174704e-30
"ITGB2",1.67046439814159e-19,0.240650644378958,0.951,0.861,3.34092879628318e-15
"NDUFB10",1.36808647634394e-23,0.240543744915587,0.829,0.66,2.73617295268788e-19
"ALDH2",5.11433698993869e-09,0.240027793327452,0.735,0.616,0.000102286739798774
"NDUFB5",9.62086501579021e-25,0.239067929779011,0.748,0.55,1.92417300315804e-20
"CAP1",3.9105028815009e-19,0.238483002179194,0.902,0.801,7.8210057630018e-15
"CHCHD10",3.12685925152163e-14,0.238328182993301,0.775,0.635,6.25371850304327e-10
"FAM49B",4.08421922134122e-19,0.238216840201156,0.871,0.744,8.16843844268243e-15
"SNRPF",3.48978328762338e-21,0.23817931625847,0.761,0.584,6.97956657524676e-17
"ISOC2",3.48273038224731e-30,0.237373503254367,0.525,0.315,6.96546076449462e-26
"PRMT1",4.37476909158404e-27,0.237063862689109,0.567,0.36,8.74953818316807e-23
"CD1E",4.31382709669125e-12,0.236776282004752,0.179,0.093,8.62765419338251e-08
"TIMM13",4.69138288525091e-22,0.23672333185528,0.726,0.545,9.38276577050182e-18
"PKM",1.50047354112968e-18,0.236255701244148,0.986,0.949,3.00094708225936e-14
"C20orf27",8.53304905246227e-29,0.236202637729832,0.568,0.355,1.70660981049245e-24
"NDUFAB1",4.01328008482708e-23,0.235971837537095,0.768,0.602,8.02656016965416e-19
"SSBP1",2.35000955749031e-25,0.235902413530964,0.789,0.607,4.70001911498063e-21
"RPS2",3.59570493887159e-23,0.235645927323785,1,0.999,7.19140987774319e-19
"GTF3A",2.96890840176291e-21,0.235084634438539,0.734,0.544,5.93781680352582e-17
"PEBP1",2.42471057032097e-19,0.2349101260403,0.774,0.607,4.84942114064194e-15
"PSMC5",6.96404903718779e-26,0.234613774187091,0.716,0.515,1.39280980743756e-21
"SPI1",4.58045229833256e-17,0.233747131179038,0.965,0.897,9.16090459666511e-13
"COX8A",9.65349951824612e-23,0.233393226999363,0.984,0.941,1.93069990364922e-18
"LAMTOR2",4.31241562091617e-20,0.231706621489329,0.866,0.705,8.62483124183235e-16
