"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SDHD",2.2512305707891e-19,0.196586793249823,0.673,0.488,4.5024611415782e-15
"NUDT1",4.80492244202918e-20,0.195901040744801,0.556,0.376,9.60984488405836e-16
"GALM",2.16118309371941e-22,0.194621487557038,0.473,0.295,4.32236618743882e-18
"PPA2",1.37298364180135e-23,0.194439484229478,0.557,0.36,2.7459672836027e-19
"LIMD2",1.44492708021879e-12,0.192512481348113,0.604,0.457,2.88985416043757e-08
"ECH1",9.66623817279351e-18,0.19247261433914,0.617,0.455,1.9332476345587e-13
"PSMD13",8.57422462481562e-23,0.192029227279552,0.593,0.403,1.71484492496312e-18
"MTCH2",4.44306630403147e-21,0.191958126124145,0.605,0.414,8.88613260806294e-17
"NAA10",1.08482891427177e-18,0.191764570309443,0.676,0.492,2.16965782854354e-14
"CHCHD3",2.7326816959439e-24,0.191372467377475,0.459,0.277,5.46536339188781e-20
"MRPL11",3.85668861755458e-24,0.190336690449846,0.557,0.356,7.71337723510917e-20
"STOML2",9.96792003147537e-27,0.188734262825188,0.602,0.375,1.99358400629507e-22
"PYURF",2.3088405051038e-22,0.188330467996868,0.63,0.432,4.61768101020761e-18
"YIF1B",1.24426374817354e-18,0.187664539585129,0.595,0.425,2.48852749634708e-14
"NDUFS3",6.51340236418498e-20,0.187236543083692,0.59,0.405,1.302680472837e-15
"PARP1",1.24495859952899e-22,0.185456628215126,0.455,0.275,2.48991719905798e-18
"SRM",1.20016504829211e-19,0.184903267657169,0.466,0.301,2.40033009658423e-15
"NOL7",1.59671457362074e-21,0.184592908595942,0.584,0.395,3.19342914724149e-17
"MRPL13",4.77820495071208e-23,0.184399142376716,0.466,0.291,9.55640990142416e-19
"CLNS1A",8.36184912570974e-22,0.184323207218011,0.575,0.384,1.67236982514195e-17
"NUTF2",2.23830913836705e-19,0.182345157745508,0.653,0.462,4.4766182767341e-15
"COMMD9",2.55707300259749e-23,0.181833784241337,0.503,0.315,5.11414600519498e-19
"RSL1D1",4.80722350435573e-19,0.181519107247887,0.612,0.427,9.61444700871145e-15
"MRPL4",4.26145618153662e-23,0.181020890338543,0.479,0.295,8.52291236307324e-19
"ACP1",1.09644301839478e-21,0.180739715133945,0.604,0.409,2.19288603678956e-17
"EIF1AY",2.5556125358943e-22,0.178478363568377,0.431,0.259,5.11122507178861e-18
"MRPS15",1.82287757090521e-17,0.177540839249328,0.616,0.439,3.64575514181043e-13
"MGST2",6.1782579946519e-17,0.177521641859208,0.647,0.469,1.23565159893038e-12
"DDOST",1.45521898656428e-17,0.177285476421203,0.659,0.482,2.91043797312855e-13
"LDLRAD4",1.42385940528171e-07,0.176721947481305,0.449,0.342,0.00284771881056343
"SRP72",8.29289639771492e-21,0.176119644646387,0.571,0.375,1.65857927954298e-16
"FAM162A",5.75310617137605e-19,0.176007557593792,0.609,0.428,1.15062123427521e-14
"NDUFV1",1.43280165180551e-18,0.175934980581927,0.581,0.412,2.86560330361103e-14
"ITGB7",1.16243261980368e-16,0.175841691097741,0.374,0.233,2.32486523960736e-12
"PDCL3",2.16167428236884e-18,0.175319721079199,0.537,0.364,4.32334856473767e-14
"NDUFS4",2.37580043996835e-20,0.174521072383629,0.609,0.42,4.7516008799367e-16
"OCIAD1",4.89475866229074e-20,0.17451753106469,0.661,0.466,9.78951732458148e-16
"AIMP1",3.20580269339332e-21,0.174468960279247,0.511,0.328,6.41160538678665e-17
"NPM3",3.50155786298586e-26,0.173872339780436,0.369,0.195,7.00311572597171e-22
"RGS19",3.53961734641049e-17,0.173796607992607,0.595,0.418,7.07923469282097e-13
"VPS35",3.52956101042737e-18,0.173764335078416,0.613,0.43,7.05912202085475e-14
"PMVK",2.79151075920382e-19,0.173366026304084,0.546,0.369,5.58302151840765e-15
"NDUFS2",2.53689520223685e-18,0.173082540366778,0.513,0.339,5.07379040447371e-14
"SEC11C",5.15727432311018e-17,0.172882321478188,0.668,0.497,1.03145486462204e-12
"TRAPPC2L",4.74286778435066e-16,0.172540767615991,0.598,0.429,9.48573556870132e-12
"TMEM109",4.89838827954529e-18,0.172532156790289,0.545,0.373,9.79677655909057e-14
"UQCC2",7.93165975734707e-18,0.172154488804638,0.559,0.386,1.58633195146941e-13
"RSL24D1",1.15437021835243e-17,0.171692427743142,0.626,0.437,2.30874043670487e-13
"CNN2",1.21887981164907e-13,0.171654331356003,0.649,0.491,2.43775962329813e-09
"C12orf45",5.7552235793093e-12,0.171343215795288,0.354,0.229,1.15104471586186e-07
"SUSD3",1.89419914767367e-17,0.171091151907767,0.287,0.157,3.78839829534734e-13
"NDUFA9",1.33575760579629e-19,0.171076547417377,0.492,0.322,2.67151521159258e-15
"CST7",6.92495292674787e-10,0.171038593335153,0.621,0.49,1.38499058534957e-05
"SSRP1",4.3724413783086e-23,0.170832990985279,0.389,0.221,8.7448827566172e-19
"EIF4EBP1",3.57123368959177e-15,0.170470217865657,0.642,0.473,7.14246737918354e-11
"EMC4",2.04170652454905e-17,0.169144500495628,0.682,0.491,4.0834130490981e-13
"KARS",5.32152198533444e-20,0.168750321292608,0.502,0.328,1.06430439706689e-15
"ASNA1",1.23637156866978e-17,0.16839330569937,0.669,0.496,2.47274313733956e-13
"TMED3",1.86788977431449e-18,0.168316069776509,0.551,0.381,3.73577954862897e-14
"CRELD2",3.70458899875979e-18,0.168114943155059,0.54,0.36,7.40917799751957e-14
"GCA",1.74663759656577e-20,0.16805382930586,0.557,0.372,3.49327519313155e-16
"ZDHHC12",5.06959969524023e-15,0.167928019411301,0.602,0.443,1.01391993904805e-10
"VDAC3",6.02113696398372e-20,0.16789620494057,0.521,0.345,1.20422739279674e-15
"MX1",8.58606934035668e-10,0.166854508235714,0.556,0.428,1.71721386807134e-05
"DDX39A",1.18177381993782e-18,0.166840235616421,0.526,0.344,2.36354763987563e-14
"NUDC",4.69531784618631e-17,0.166069277702884,0.652,0.473,9.39063569237261e-13
"MRPS23",4.78062746288784e-23,0.166067656264605,0.384,0.216,9.56125492577568e-19
