"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BHLHE40",0.165032823856463,0.0346162117078666,0.642,0.711,1
"PTPN1",0.200460077643444,0.034585350600397,0.59,0.679,1
"TRIM33",0.493282576830116,0.0345504369710962,0.182,0.197,1
"ITGB5",0.589139082626121,0.0345043987105947,0.212,0.23,1
"STRN3",0.740821788867133,0.0342757503028407,0.124,0.132,1
"TMEM189",0.0448548903916865,0.0341977093155914,0.256,0.31,1
"HRH2",0.132419022054111,0.0341714311490473,0.121,0.146,1
"MGEA5",0.0168668904309249,0.0341400771642862,0.266,0.329,1
"CD55",0.0207637811245096,0.0340694471677051,0.422,0.507,1
"GPATCH2L",0.0687973853255261,0.0340371903925555,0.202,0.242,1
"BCL2L11",0.252583534638488,0.0339958559970585,0.247,0.28,1
"PDPN",0.393920905627865,0.0339931232168456,0.145,0.161,1
"TRA2A",0.0210862911328762,0.0339836636490132,0.36,0.443,1
"PPFIA1",0.237095091297685,0.033853115696753,0.163,0.187,1
"TMEM127",0.27029327112772,0.033841691901135,0.261,0.297,1
"BRD2",0.732691839495793,0.0338317336106584,0.603,0.668,1
"SLC35A5",0.449268738477584,0.0336834774491717,0.128,0.121,1
"RNF24",0.190952462468668,0.033681576209609,0.132,0.154,1
"LRRFIP2",0.211004882868692,0.033678281789764,0.302,0.35,1
"TICAM1",0.0270168600922505,0.0336091954857662,0.192,0.236,1
"IER2",0.985221896397293,0.0336018737080643,0.761,0.828,1
"LMBRD1",0.469738334635587,0.0335811390578289,0.291,0.32,1
"CHD4",0.107262557628758,0.0335789737095116,0.353,0.415,1
"OXSR1",0.0512445437764103,0.0335588545928611,0.227,0.271,1
"CLK1",0.553956478253923,0.0335467443599158,0.588,0.655,1
"MOSPD2",0.261166315015669,0.0334129732781798,0.151,0.174,1
"NEDD9",0.573048283828685,0.0334000058285183,0.098,0.107,1
"EML3",0.115997910997162,0.033378939061529,0.157,0.187,1
"PAPD7",0.812937872065428,0.0333509233589325,0.102,0.101,1
"SDCCAG8",0.0463161677065424,0.0332755932483093,0.273,0.33,1
"CUX1",0.0544611609741009,0.0332459822917319,0.276,0.332,1
"RBBP6",0.0611302871142775,0.0332297777618391,0.379,0.448,1
"SAMD4B",0.235225158450724,0.0331024107928451,0.212,0.243,1
"RHBDF2",0.0576303784992624,0.0330929565335034,0.354,0.418,1
"ARAP1",0.116013430919903,0.0329855161532243,0.291,0.343,1
"SERTAD2",0.054977679433922,0.0329687885760698,0.169,0.204,1
"SIDT2",0.368036910022087,0.0329425633558778,0.215,0.242,1
"SEMA4A",0.201023610352438,0.0328486757888329,0.41,0.466,1
"ME1",0.669689184257612,0.0328313876425027,0.139,0.137,1
"CD84",0.131188945749985,0.0328309837623427,0.393,0.452,1
"MARCH2",0.170812366534955,0.0327777475709954,0.362,0.42,1
"LASP1",0.0291378833224293,0.0327633836207915,0.404,0.489,1
"ZNRF2",0.272453018783517,0.0327462029494123,0.145,0.166,1
"VIM-AS1",0.26047075530911,0.0326539535992946,0.103,0.12,1
"ADIPOR1",0.596968296740961,0.0326038747691672,0.59,0.67,1
"TXNRD1",0.0617533579930791,0.0325794627622662,0.311,0.373,1
"HIVEP1",0.324380570618028,0.0325705296571637,0.141,0.159,1
"MITF",0.232163471516181,0.0325103454371206,0.2,0.229,1
"MSN",0.915429584979589,0.0323858496811489,0.767,0.83,1
"MERTK",0.778610515312367,0.0323493317774276,0.213,0.225,1
"FMNL2",0.337456049419435,0.0323148432838115,0.26,0.29,1
"DDX17",0.0872882473617963,0.0323051585272982,0.445,0.531,1
"ARID4B",0.0357802579045667,0.0322164867808479,0.456,0.55,1
"SNX27",0.117403589207641,0.0321676669317409,0.237,0.279,1
"FAM120A",0.291588777633746,0.0320578080365711,0.338,0.38,1
"WDR45B",0.0156097985094927,0.0320300250632366,0.383,0.468,1
"SNAI1",0.26160021597267,0.0319999389029378,0.264,0.298,1
"PTPN2",0.0659051803607263,0.0319926036739258,0.491,0.589,1
"WDR82",0.0497483324825119,0.0319901450298296,0.22,0.268,1
"IQGAP1",0.400383573676075,0.0319279916418378,0.669,0.763,1
"STAT2",0.0428473227851167,0.0318680265804641,0.311,0.372,1
"THBD",0.514151346357484,0.0318659632784887,0.388,0.427,1
"PRR7",0.777780998128062,0.0318655800323208,0.097,0.103,1
"PITPNM1",0.911471479968371,0.0318383334507445,0.105,0.107,1
"TMEM205",0.163948478886777,0.0318222809766662,0.45,0.517,1
"SAMD8",0.25329174993959,0.0317734416848981,0.166,0.189,1
"TMEM60",0.193536599713299,0.0317636422219437,0.261,0.303,1
"AKAP13",0.89133661577667,0.0316861283607164,0.716,0.772,1
"ZCCHC2",0.485757267822605,0.0316675783210939,0.114,0.127,1
"DTX2",0.130532364746287,0.0316139914077915,0.171,0.203,1
"MOB3B",0.566970644904855,0.0315864492995606,0.232,0.252,1
"DOT1L",0.0656955023818889,0.0315726612680904,0.147,0.179,1
"F11R",0.405540016442859,0.03150695879228,0.166,0.185,1
"NBN",0.0130070861887401,0.0314811258684623,0.231,0.287,1
"MICU1",0.0828666174112142,0.0314800912389032,0.186,0.224,1
"PCF11",0.039277694923391,0.0314574047754356,0.275,0.335,1
"AP2A2",0.074499529026894,0.0314341714113934,0.294,0.342,1
"HTRA1",0.231405333560592,0.0313462738639304,0.122,0.14,1
"FAM200B",0.275959801361442,0.0313011370690333,0.28,0.316,1
"PSEN1",0.0569898172156933,0.0312677763685618,0.266,0.32,1
"ATP8B4",0.326981186233701,0.0312557835373204,0.118,0.134,1
"MAFK",0.543927038144811,0.0312005011223271,0.119,0.13,1
"JCHAIN",0.0232938453215539,0.0310918368366104,0.188,0.231,1
"SGPL1",0.167470664795809,0.0310438339772047,0.452,0.526,1
"PIK3IP1",0.332262292870786,0.0310394679164505,0.2,0.224,1
"C11orf24",0.446407135341361,0.0310171070863613,0.128,0.141,1
"SMPDL3A",0.350722204727357,0.0309463802852631,0.278,0.311,1
"PPP1R9B",0.341967676812687,0.0309420690851819,0.18,0.202,1
"PI4K2A",0.697854480419411,0.0309329139213918,0.174,0.186,1
"WIPI1",0.567526775718438,0.0309088064369851,0.249,0.269,1
"GPX3",0.301481008321658,0.030863012503292,0.336,0.379,1
"GPR132",0.0930778880289075,0.0308624890482072,0.274,0.322,1
"HSD17B14",0.74376454431366,0.0308291260107423,0.238,0.241,1
"VRK2",0.0872129183112211,0.0308205011453673,0.222,0.264,1
"FAM91A1",0.439398633165884,0.0308072593595758,0.205,0.228,1
"SLC35E3",0.187776677192856,0.030718331986083,0.147,0.171,1
"UBAP1",0.034570076038463,0.0306525271901145,0.237,0.289,1
"ANKRD12",0.0708926350366079,0.0306353303070476,0.488,0.575,1
"INPPL1",0.213435685110487,0.030625766383372,0.171,0.197,1
"SCYL2",0.611656583363012,0.0304545923080092,0.183,0.199,1
"CCR5",0.114938228308826,0.0303717523073131,0.124,0.149,1
"NEK7",0.654673594006449,0.0303562328635987,0.194,0.207,1
"ZMIZ1",0.0349190094726626,0.0303500805681583,0.319,0.385,1
"ELL",0.239432179654479,0.030342877102577,0.166,0.19,1
"D2HGDH",0.756545970162546,0.0303277317082576,0.1,0.106,1
"RGL1",0.0395536780026602,0.030248257832538,0.19,0.231,1
"C1S",0.655477672094739,0.0302442895071462,0.12,0.13,1
"NPL",0.504307659149068,0.0302374456614722,0.416,0.447,1
"B3GNT5",0.218253314714712,0.0302213042266674,0.249,0.282,1
"FAM102B",0.111037599115078,0.0301664381736859,0.153,0.182,1
"MMP25",0.484471896438768,0.0301179828777554,0.107,0.101,1
"RPS6KA3",0.0026476719618418,0.0298725273415128,0.229,0.295,1
"IFIH1",0.128306164438427,0.029871822708496,0.262,0.305,1
"MPEG1",0.421183649661787,0.0298672315840002,0.47,0.524,1
"RDX",0.00603256864243747,0.029700213049437,0.31,0.388,1
"CTSB",0.0765365759076232,0.0296937175782324,0.981,0.978,1
"CSNK2A2",0.434297390432681,0.0296049952375124,0.125,0.139,1
"CLASP2",0.587545874009562,0.0295666497985665,0.139,0.152,1
"EPM2AIP1",0.210198756478428,0.0295157448565599,0.102,0.12,1
"TMBIM1",0.423007550353159,0.0295152932852353,0.418,0.47,1
"NECAP1",0.481014713544358,0.0292338149890526,0.097,0.109,1
"MSL1",0.67350319214483,0.0291789922752091,0.16,0.172,1
"ZNF385A",0.208794438911162,0.0291766219109422,0.451,0.522,1
"AC147651.4",0.0787426941969903,0.02909969385594,0.156,0.188,1
"LPXN",0.0547048393815422,0.0290949221400029,0.553,0.643,1
"TRPS1",0.266280368476779,0.0289292362495163,0.158,0.18,1
"RASA2",0.0841089387739231,0.0288138469441064,0.103,0.128,1
"SGTB",0.0390558792691436,0.0287646796087151,0.188,0.229,1
"CDC42EP2",0.269131543976924,0.0287414890829628,0.221,0.246,1
"NT5C2",0.542701308267425,0.028739122943034,0.169,0.184,1
"TAF13",0.275026432020289,0.0287166243685742,0.187,0.214,1
"NUS1",0.00311794714961485,0.0285814440307173,0.264,0.335,1
"SCML1",0.162559764766078,0.0285718137921862,0.155,0.18,1
"ELK3",0.278958194402406,0.0285252379879669,0.119,0.138,1
"RPS16",0.382179043155801,0.028520023275564,1,0.999,1
"ANKRD10",0.00821872433371719,0.0285015653418006,0.324,0.4,1
"FAM21A",0.997792983465982,0.0284893435492151,0.128,0.131,1
"FNBP1",0.163261983862409,0.0283710069305101,0.666,0.751,1
"HLA-DQA2",0.000323042263447557,0.0283453387589709,0.624,0.736,1
"C6orf62",0.058124063010551,0.0282281569786679,0.508,0.605,1
"DPYD",0.0985418704413626,0.0281920895840687,0.22,0.258,1
"ZBED1",0.0442862140306572,0.0281743869350669,0.182,0.222,1
"GALNT6",0.891971827984825,0.0281601745931171,0.115,0.12,1
"RBM22",0.00318402406638908,0.02810433706897,0.24,0.309,1
"KDM5C",0.60561240338026,0.0280677932839419,0.113,0.123,1
"RPL36AL",0.263910265264097,0.027941457992759,0.972,0.991,1
"GAK",0.0404314513305405,0.0279265643828435,0.278,0.336,1
"BATF3",0.00525496260847131,0.0278927161364167,0.098,0.134,1
"MEI1",0.0757223347303602,0.0278803716738854,0.155,0.187,1
"NCR3LG1",0.969625352270637,0.0278699940312221,0.103,0.106,1
"HELZ",0.281427472984703,0.0277026027520773,0.193,0.217,1
"BAZ1A",0.0186365065414667,0.0276852747591663,0.645,0.758,1
"ST3GAL6",0.00185028103240182,0.0276355452728201,0.18,0.237,1
"CRTC3",0.00993196131573664,0.0276072410287396,0.159,0.207,1
"MRPS6",0.0471298783800307,0.0276052006781091,0.502,0.58,1
"CTNNA1",0.00801562503215268,0.0274429790108567,0.434,0.531,1
"NCK1-AS1",0.29918738236945,0.0271802866536055,0.106,0.122,1
"ATP6V1C1",0.0749948402478072,0.0271750621439187,0.403,0.468,1
"RP6-91H8.3",0.231669463081631,0.0271741094812747,0.115,0.133,1
"FRMD4A",0.687911617821655,0.027161791628408,0.173,0.185,1
"C4orf3",0.890439317850653,0.0271123281556773,0.859,0.919,1
"PPP3R1",0.221662305580419,0.0270920406795743,0.168,0.194,1
"SMURF2",0.991541758813355,0.0270527561476201,0.141,0.145,1
"FAM127A",0.0405164682619003,0.026946501722888,0.276,0.327,1
"H6PD",0.975662303898132,0.0268977193471733,0.141,0.147,1
"ARHGAP10",0.123649730562376,0.0268888669577257,0.159,0.188,1
"CCNY",0.0642338648522913,0.026879910663919,0.195,0.234,1
"SH3BP2",0.0999286905973511,0.0268444168924258,0.333,0.393,1
"PPP4R3A",0.132841605426723,0.0268439904994076,0.278,0.323,1
"POGZ",0.421982119229261,0.0267588851055288,0.154,0.171,1
"KRT16",0.00205864017351918,0.0266474269843447,0.2,0.259,1
"CKAP4",0.367704001722591,0.0266047936364751,0.089,0.101,1
"ARHGEF40",0.0200011240922833,0.0265588253577706,0.093,0.123,1
"CNOT4",0.290824203892213,0.0265471865455389,0.207,0.235,1
"GIGYF1",0.448539274849635,0.0264845575960628,0.092,0.103,1
"SLC26A11",0.223940013767729,0.0264103485311348,0.134,0.155,1
"TMEM255B",0.329377563805746,0.0263917089524016,0.139,0.156,1
"USP36",0.0948288611186786,0.0263775400105636,0.315,0.362,1
"GAL3ST4",0.66652730807485,0.0263365055449603,0.169,0.18,1
"WDR81",0.462827609802693,0.02613661211082,0.122,0.135,1
"ORAI3",0.0702406174603073,0.0261279278881174,0.217,0.258,1
"PFDN5",0.622284398142578,0.0261119519175761,0.995,0.998,1
"SLC1A3",0.0931503442375585,0.026095072177028,0.19,0.224,1
"SCARB1",0.386928129869612,0.0260691029950376,0.175,0.197,1
"PIP5K1C",0.41848032396247,0.0260612891380082,0.174,0.192,1
"DPH3",0.012655721735477,0.0260597358000716,0.371,0.458,1
"CRISPLD2",0.936403004375937,0.0260123551367489,0.113,0.114,1
"RNF44",0.250796810810217,0.0258186208456952,0.135,0.155,1
"ATP6V0A1",0.365057771251339,0.025795671094846,0.253,0.281,1
"CAMTA2",0.258501137435694,0.0257870276577645,0.093,0.108,1
"IFNGR2",0.125951709276975,0.0257848063430697,0.614,0.709,1
"EIF4EBP2",0.00796816461573449,0.0257547875405403,0.256,0.325,1
"DENND3",0.134270404407174,0.0257085418022137,0.235,0.269,1
"FUBP3",0.263876486346466,0.0256802886740263,0.137,0.158,1
"EPHB2",0.383819071016443,0.0256412065459513,0.119,0.111,1
"MX2",0.18969689601371,0.0256114959507556,0.327,0.372,1
"COL6A3",0.107960049852849,0.0255935916572929,0.086,0.106,1
"WDFY3",0.274495208114527,0.0255632377352559,0.098,0.114,1
"PRKAG2",0.103833898636836,0.0255592724099147,0.269,0.314,1
"HLX",0.143030004928534,0.0255492050474936,0.098,0.117,1
"SERP1",0.732979351452099,0.0255020595938191,0.923,0.969,1
"SEL1L",0.150460667038176,0.0254701612935311,0.2,0.233,1
"TMEM107",0.00905680693465422,0.0253960966141657,0.287,0.354,1
"UGCG",0.0512378969869213,0.0253578402558637,0.258,0.307,1
"CREB1",0.241791671570468,0.0252724676631211,0.219,0.249,1
"C19orf25",0.0248864741804098,0.0252285572671159,0.222,0.274,1
"CCDC130",0.0768097521064713,0.0251382817287188,0.146,0.176,1
"OSBP",0.452333790381733,0.025096834075069,0.096,0.108,1
"GPBP1",0.125419412092297,0.0250541185209668,0.531,0.623,1
"YPEL3",0.166191879443114,0.0250377394820387,0.225,0.26,1
"ZNF267",0.0627204380443014,0.0249868765829113,0.504,0.597,1
"DNAJC25",0.134088334129744,0.0249846624547997,0.098,0.118,1
"TNFSF13B",0.0497358853668388,0.0249514386196574,0.677,0.803,1
"EXOC4",0.446848603939255,0.0247720469111238,0.134,0.149,1
"CCNK",0.144994705983306,0.024744895868227,0.226,0.261,1
"SKIL",0.00595913547250935,0.0246780578377421,0.415,0.519,1
"SNX18",0.294685061018346,0.0246555315841029,0.151,0.172,1
"MINK1",0.172500818106633,0.0246026781398618,0.204,0.236,1
"ALAS1",0.0142167130127291,0.0245664954251262,0.217,0.269,1
"PXN",0.934003410748243,0.0244649579275231,0.114,0.115,1
"FAM213B",0.436936256926512,0.0244567025385012,0.143,0.159,1
"KLF13",0.00833103837090254,0.0243958965001903,0.18,0.231,1
"CHSY1",0.122183939478845,0.0243908581898376,0.131,0.156,1
"SAMD9",0.267977739233304,0.024382334578641,0.178,0.204,1
"NCK1",0.119294141643726,0.0243695230410209,0.231,0.271,1
"SDF2",0.013673112814162,0.0243650703865022,0.344,0.427,1
"ATF7IP",0.0304442260265005,0.0243628366284305,0.139,0.175,1
"STT3B",0.00135154235271078,0.0243470930373538,0.296,0.379,1
"EVI2A",0.0209773493319768,0.0243118506298142,0.426,0.511,1
"HNRNPL",0.120490499779144,0.0242510688701894,0.192,0.226,1
"SLC29A1",0.345896401530456,0.0241535025820114,0.176,0.197,1
"SLCO3A1",0.39687881445096,0.0241317100879016,0.19,0.209,1
"LIMK2",0.297174603902401,0.0241126508321123,0.135,0.153,1
"RLF",0.439039510789556,0.0240762344025002,0.13,0.144,1
"ARIH1",0.0176962837626759,0.0239982337796358,0.272,0.332,1
"GALNT1",0.00360943128380581,0.0239929678121171,0.295,0.376,1
"CUL3",0.0183221388523614,0.0239533530638962,0.179,0.225,1
"SPRR1B",0.105463806563891,0.0239275261321134,0.135,0.162,1
"AGPAT4",0.653060563521409,0.0238302205595234,0.172,0.183,1
"TBC1D2",0.32856158109257,0.0237162035484085,0.11,0.125,1
"REXO1",0.243556260078201,0.0237124897526993,0.088,0.103,1
"ZCCHC6",0.182574048733308,0.0236734450460526,0.155,0.179,1
"BTG3",0.00172726037909221,0.0235650580376396,0.391,0.487,1
"LAMP3",0.421837819850725,0.0235173637850967,0.151,0.167,1
"MS4A14",0.763134771147162,0.0234461195014768,0.108,0.106,1
"OSBPL2",0.374505286034941,0.0234300214614074,0.094,0.107,1
"RCBTB2",0.459494128329448,0.0233812412796583,0.134,0.147,1
"MSL2",0.482005500460974,0.0233433336546034,0.101,0.112,1
"SCARF1",0.0510042940181389,0.0233200866844296,0.174,0.211,1
"PPM1A",0.00344764293623012,0.0232802764084628,0.194,0.254,1
"TMEM91",0.34777658907582,0.0232532006982865,0.109,0.123,1
"ATP11B",0.334525862070527,0.02312589314105,0.119,0.135,1
"MFHAS1",0.0568644085435079,0.023089983755969,0.138,0.17,1
"ST6GAL1",0.916551848623059,0.0230179704003338,0.161,0.164,1
"PIEZO1",0.0206888495538931,0.0228981178342735,0.147,0.187,1
"LINC00969",0.025937266600533,0.0228686507270452,0.279,0.34,1
"U2AF1",0.151016385401592,0.0228451705307618,0.172,0.199,1
"RASAL2",0.492292741149775,0.0228316694089587,0.149,0.162,1
"PARP6",0.386033811489737,0.0228303614047941,0.117,0.131,1
"PIK3C2A",0.143755080675676,0.0227956051801718,0.095,0.115,1
"YTHDF3",0.115165375988461,0.0227838396643704,0.27,0.312,1
"VAMP4",0.166890018208689,0.0227619698812508,0.151,0.175,1
"ALG13",0.0113614689514967,0.0227615230998226,0.319,0.389,1
"ELOVL5",0.0418952480132852,0.0227508988961277,0.369,0.438,1
"MARCKSL1",0.122389969777409,0.0227401884716265,0.558,0.623,1
"MAML2",0.601399464999788,0.0226985343459442,0.098,0.107,1
"WDR45",0.0358121006987463,0.0226700771523979,0.302,0.364,1
"MARVELD1",0.445729156025499,0.0226222416905144,0.108,0.12,1
"EVA1B",0.138299841291331,0.0226137322260163,0.226,0.261,1
"MAP2K7",0.132389176866073,0.0225660668318144,0.134,0.159,1
"NAB1",0.0497465972030346,0.0225587250319743,0.194,0.232,1
"HSPBAP1",0.13879371233661,0.0224602818883375,0.119,0.141,1
"PTPRJ",0.0623731834927709,0.0224255403828715,0.276,0.328,1
"SPPL3",0.0388868958841973,0.0224122350511655,0.176,0.217,1
"MLXIP",0.00866038824883302,0.0224011219652981,0.186,0.237,1
"KIF1C",0.604894371471691,0.0222606536830472,0.109,0.117,1
"ZDHHC20",0.108081695130376,0.0221489010461957,0.196,0.231,1
"TRIO",0.399763010277236,0.0220972651274652,0.106,0.119,1
"RCOR3",0.683247752346996,0.0220306780962034,0.093,0.1,1
"CCDC117",0.299638830252651,0.0220193828325824,0.104,0.12,1
"ZMYND8",0.705434164753567,0.0220076403566683,0.111,0.118,1
"CDKN2AIP",0.0893503915298968,0.0219024689132392,0.096,0.12,1
"KMT2C",0.121357689940394,0.0218384656636278,0.268,0.314,1
"CD46",0.0397397994330496,0.0218355654385366,0.289,0.345,1
"INTS1",0.258675325328127,0.0217882101742087,0.105,0.122,1
"RCOR1",0.0315281321305095,0.0216819173918935,0.282,0.338,1
"STOM",0.0242629266297758,0.021654658225471,0.458,0.545,1
"TOP2B",0.00240205232022342,0.0215677730988358,0.166,0.221,1
"FBRS",0.0240392608697331,0.0215617436266055,0.2,0.244,1
"PLPP5",0.0603847621874547,0.0215557580191474,0.248,0.296,1
"DTX3L",0.143408471034997,0.0215397115387844,0.163,0.189,1
"CLPTM1L",0.0085190228634266,0.0215240237320553,0.207,0.263,1
"CBLB",0.0434990672435247,0.0214748315141636,0.131,0.162,1
"GBGT1",0.152708209360245,0.0214590530447489,0.161,0.188,1
"SLFN11",0.538305010956222,0.0214370636853651,0.132,0.142,1
