"","hb","hs","mb","ms"
"hb",1,1,1,0.599400599400599
"hs",1,1,1,0.000999000999000999
"mb",1,1,1,0.041958041958042
"ms",0.599400599400599,0.000999000999000999,0.041958041958042,1
