Taxon	WTN.F	dbS.F	dbN.F	WTS.F	dbN.O	dbS.B	dbN.B	WTS.B	WTS.L	WTN.L	WTN.O	WTS.O	dbS.O	dbS.L	WTN.B	dbN.L
Unassigned	20.0	1.0	6.0	24.0	995.0	407.0	248.0	961.0	8700.0	5965.0	2343.0	1404.0	962.0	2440.0	1233.0	1206.0
k__Archaea	0.0	0.0	6.0	1.0	164.0	107.0	45.0	153.0	2588.0	1273.0	446.0	739.0	259.0	329.0	300.0	288.0
k__Bacteria	89014.0	89033.0	89022.0	89009.0	87875.0	88520.0	88741.0	87920.0	77746.0	81796.0	86245.0	57213.0	87813.0	86265.0	87501.0	87540.0
