Group,Treg,Myofibroblasts,Macrophages,Epithelial,CD4.T_cells,NK,Plasma,B_cells,DCs,Endothelial,Tprolif,CD8.T_cells,Fibroblasts,Monocytes,Mast,Myocytes
OSF,0.017881365301603364,7.592916034810688e-4,-0.029708704551564935,0.012071712150653502,-0.025062900550997767,0,0.024230633613550462,0.003709849162896,0.00805036602490131,-0.011851517767319776,0,0.005059790090474872,-0.022644476530903977,0.005500182504842134,0,0.012004408948384166
AB,0.004893192340644323,-2.067593516056794e-4,0.050106246137512835,0.05453297665033567,0,0,0.0027492894540641372,0,0.016488852222859444,0.006883055009341768,0.01223615260190965,0.004492861669319187,0.031476195924234535,0,-2.7954965461013517e-4,-0.1833725130040057
Ai,8.048524082153468e-4,-0.004693395157310026,0.0034171138024868602,0.03965943536405138,0,0,0.001891915169278717,0,3.4009303238135766e-5,0.0018858974048550688,0.016316137777061153,0.0018143715061061567,-0.007225248896432397,0,-5.758529332361767e-4,-0.05332923574831372
Am,2.0351018499491666e-4,-0.004752299522942602,-0.0018148831253364164,0.024937556663014684,0,0,-6.545831021198268e-5,0,-7.196519615045535e-4,-1.4537994738782548e-4,0.012836565276371024,-0.0013540677131281267,-0.013602480811560732,0,-2.5142917278164e-4,-0.01527198155952636
Av,-1.8402656984166667e-4,-0.004542837792551439,3.8913260043707976e-4,0.08611921889639597,0,0,2.794371612726072e-4,0,0.001160077578307456,-1.4867216224659537e-4,0.030022792916545218,-9.088308165199434e-4,-0.009848845509873631,0,-4.484724690432466e-4,-0.10188897383288165
B,0.0014560255541237598,0.01385350866651196,0.09533278998231397,0.023826576731257446,0,0,0.008791974897264443,0.0034686183145091003,0.0076261439566155075,0.015085707878772966,0.02926990164067481,0.0187559480562691,0.015164038226668265,0,0.002520223592306638,-0.23515145749728805
Pm,-2.2219591815325333e-4,-0.0049663550774477865,-0.002810751347389363,-0.03779894302662341,0,0,-1.999881472598269e-5,0,1.0874910308765777e-4,0.0012962183706378156,1.092137585696944e-4,-0.0011925243675747533,-0.016822759096906083,0,-5.758529332361767e-4,0.06289519934976218
