Cell_Type,OSF_Change,Abs_Change
Macrophages,-0.029708704551564935,0.029708704551564935
CD4+T_cells,-0.025062900550997767,0.025062900550997767
Plasma,0.024230633613550462,0.024230633613550462
Fibroblasts,-0.022644476530903977,0.022644476530903977
Treg,0.017881365301603364,0.017881365301603364
