Taxon	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O
Unassigned	1.0	17.0	0.0	2.0	5.0	2.0	0.0	0.0	1.0	2.0	20.0	1.0	164.0	453.0	160.0	180.0	37.0	946.0	45.0	3957.0	4096.0	764.0	465.0	939.0	1024.0	555.0	277.0	409.0	3.0	430.0	1614.0	99.0	425.0	2615.0	449.0	143.0	685.0	518.0	396.0	12.0	378.0	263.0	1460.0	2128.0	23.0	210.0	542.0
k__Archaea	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	61.0	72.0	63.0	1.0	22.0	151.0	18.0	1498.0	638.0	174.0	93.0	646.0	96.0	176.0	50.0	118.0	0.0	26.0	195.0	71.0	81.0	1052.0	11.0	27.0	218.0	133.0	108.0	2.0	31.0	74.0	517.0	38.0	26.0	22.0	182.0
k__Bacteria	29677.0	29661.0	29678.0	29676.0	29673.0	29675.0	29678.0	29672.0	29677.0	29676.0	29658.0	29677.0	29453.0	29153.0	29455.0	29497.0	29619.0	28581.0	29615.0	24223.0	24944.0	28740.0	29120.0	28093.0	28558.0	28947.0	29351.0	29151.0	29675.0	29222.0	27869.0	29508.0	29172.0	26011.0	29218.0	29508.0	28775.0	29027.0	29174.0	29664.0	29269.0	29341.0	27701.0	27512.0	29629.0	29446.0	28954.0
