Name	Kingdom	Phylum	Class	Order	Family	Genus	Species
Cupriavidus_necator	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus_necator
Amycolatopsis_sp._YIM_10	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Amycolatopsis	s__Amycolatopsis_sp._YIM_10
Pseudonocardia_sp._CGMCC_41532	
Corynebacterium_gerontici	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_gerontici
Streptomyces_xinghaiensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_xinghaiensis
Cloacibacterium_normanense	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Cloacibacterium	s__Cloacibacterium_normanense
Bifidobacterium_choerinum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_choerinum
Corynebacterium_minutissimum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_minutissimum
Campylobacter_sp._RM6914	k__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_californiensis
Streptomyces_globosus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_globosus
Gryllotalpicola_protaetiae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Gryllotalpicola	s__Gryllotalpicola_protaetiae
Allosaccharopolyspora_coralli	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Allosaccharopolyspora	s__Allosaccharopolyspora_coralli
Sphingomonas_sp._AAP5	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_sp._AAP5
Butyricimonas_virosa	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Butyricimonas	s__Butyricimonas_virosa
Corynebacterium_bovis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_bovis
Conexibacter_woesei	k__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae	g__Conexibacter	s__Conexibacter_woesei
Cellulomonas_sp._EW123	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_palmilytica
Prevotella_sp._E2_25	
Micromonospora_sp._WMMC415	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micromonosporales	f__Micromonosporaceae	g__Micromonospora	s__Micromonospora_sp._WMMC415
Brevibacterium_sp._SMBL_HHYL_HB1	
Lysinibacillus_sphaericus	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Lysinibacillus	s__Lysinibacillus_sphaericus
Lactobacillus_delbrueckii	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_delbrueckii
Rhodococcus_equi	
Massilia_violaceinigra	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__Massilia_violaceinigra
Frondihabitans_sp._PAMC_28766	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Frondihabitans	s__Frondihabitans_sp._PAMC_28766
Corynebacterium_comes	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_comes
Microbacterium_sp._SSW1_36	
Amycolatopsis_aidingensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Amycolatopsis	s__Amycolatopsis_aidingensis
Staphylococcus_cohnii	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_cohnii
Draconibacterium_orientale	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Marinilabiliales	f__Prolixibacteraceae	g__Draconibacterium	s__Draconibacterium_orientale
Ralstonia_mannitolilytica	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__Ralstonia_mannitolilytica
Paucibacter_sp._KCTC_42545	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles	s__Paucibacter_sp._KCTC_42545
Tissierella_sp._JN_28	
Crassaminicella_thermophila	k__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Crassaminicella	s__Crassaminicella_thermophila
Enterococcus_hirae	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus_hirae
Thermomonospora_curvata	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Thermomonosporaceae	g__Thermomonospora	s__Thermomonospora_curvata
Orrella_dioscoreae	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Orrella	s__Orrella_dioscoreae
Kaistella_jeonii	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Kaistella	s__Kaistella_jeonii
Rhodococcus_sp._SGAir0479	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus_sp._SGAir0479
Dietzia_timorensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Dietziaceae	g__Dietzia	s__Dietzia_timorensis
Anaeromyxobacter_sp._Red232	k__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacter_oryzae
Flavobacterium_alkalisoli	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium_alkalisoli
Arthrobacter_sp._NicSoilB4	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__Arthrobacter_sp._NicSoilB4
Xanthobacter_dioxanivorans	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae	g__Xanthobacter	s__Xanthobacter_dioxanivorans
Bifidobacterium_actinocoloniiforme	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_actinocoloniiforme
Brevundimonas_naejangsanensis	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_naejangsanensis
Streptomyces_sp._DSM_40868	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_sp._DSM_40868
Salinibacterium_hongtaonis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Salinibacterium	s__Salinibacterium_hongtaonis
Alkaliphilus_sp._B6464	k__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Natronincolaceae	g__Alkaliphilus	s__Alkaliphilus_sp._B6464
Nocardia_arthritidis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Nocardia	s__Nocardia_arthritidis
Nocardioides_sp._InS609_2	
Bifidobacterium_thermophilum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_thermophilum
Subtercola_sp._PAMC28395	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Subtercola	s__Subtercola_sp._PAMC28395
Corynebacterium_genitalium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_genitalium
Microbacterium_sp._ABRD_28	
Agromyces_archimandritae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	s__Agromyces_archimandritae
Microbacterium_testaceum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_testaceum
Petrocella_atlantisensis	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Vallitaleaceae	g__Petrocella	s__Petrocella_atlantisensis
Intestinibaculum_porci	k__Bacteria	p__Bacillota	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Intestinibaculum	s__Intestinibaculum_porci
Agrococcus_sp._SCSIO52902	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus_sp._SCSIO52902
Miltoncostaea_oceani	k__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Miltoncostaeales	f__Miltoncostaeaceae	g__Miltoncostaea	s__Miltoncostaea_oceani
Prochlorococcus_marinus	k__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Synechococcales	f__Prochlorococcaceae	g__Prochlorococcus	s__Prochlorococcus_marinus
Streptomyces_sp._fd1_xmd	
Arthrobacter_sp._PGP41	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__Arthrobacter_sp._PGP41
Streptomyces_cadmiisoli	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_cadmiisoli
Microbacterium_sp._H1_D42	
Bifidobacterium_catenulatum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_catenulatum
Corynebacterium_deserti	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_deserti
Mycobacterium_avium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium_avium
Protaetiibacter_sp._SSC_01	
Rhodoferax_koreense	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__Rhodoferax_koreense
Sphingomonas_sp._CL51	
Sphingobium_sp._PAMC28499	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium_sp._PAMC28499
Bifidobacterium_pullorum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_pullorum
Azospirillum_thermophilum	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum_thermophilum
Spiractinospora_alimapuensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Nocardiopsidaceae	g__Spiractinospora	s__Spiractinospora_alimapuensis
Agromyces_laixinhei	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	s__Agromyces_laixinhei
Miniphocaeibacter_halophilus	k__Bacteria	p__Bacillota	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Miniphocaeibacter	s__Miniphocaeibacter_halophilus
Cryobacterium_soli	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium_soli
Pseudomonas_sp._B11D7D	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_sp._B11D7D
Arthrobacter_sp._StoSoilB20	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__Arthrobacter_sp._StoSoilB20
Nocardioides_sp._CF8	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._CF8
Streptomyces_sp._C8S0	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_sp._C8S0
Campylobacter_fetus	k__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_fetus
Nocardioides_sp._W7	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_sp._W7
Streptomyces_aquilus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_aquilus
Corynebacterium_cystitidis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_cystitidis
Rhodococcus_sp._PBTS_1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus_sp._PBTS_1
Latilactobacillus_sakei	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Latilactobacillus	s__Latilactobacillus_sakei
Flavobacterium_sp._CJ74	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium_psychrotrophum
Streptomyces_sp._W1SF4	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_sp._W1SF4
Microbacterium_sp._NIBRBAC000506063	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_sp._NIBRBAC000506063
Microbacterium_amylolyticum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_amylolyticum
Actinoplanes_ianthinogenes	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micromonosporales	f__Micromonosporaceae	g__Actinoplanes	s__Actinoplanes_ianthinogenes
Actinoplanes_teichomyceticus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micromonosporales	f__Micromonosporaceae	g__Actinoplanes	s__Actinoplanes_teichomyceticus
Sphingopyxis_sp._QXT_31	
Azospira_restricta	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Azospira	s__Azospira_restricta
Salinibacterium_sp._dk2585	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Salinibacterium	s__Salinibacterium_sp._dk2585
Streptomyces_gobiensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_gobiensis
Rhodococcus_coprophilus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Rhodococcus	s__Rhodococcus_coprophilus
Gordonia_iterans	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Gordoniaceae	g__Gordonia	s__Gordonia_iterans
Streptomyces_clavuligerus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_clavuligerus
Clostridium_cellulovorans	k__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium_cellulovorans
Chryseobacterium_sp._C_17	
Dietzia_psychralcaliphila	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Dietziaceae	g__Dietzia	s__Dietzia_psychralcaliphila
Metamycoplasma_hominis	k__Bacteria	p__Mycoplasmatota	c__unclassified_Mycoplasmatota_class	o__Mycoplasmoidales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma_hominis
Bordetella_trematum	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Bordetella	s__Bordetella_trematum
Moraxella_sp._ZY201115	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Moraxella	s__Moraxella_nasovis
Chondromyces_crocatus	k__Bacteria	p__Myxococcota	c__unclassified_Myxococcota_class	o__Polyangiales	f__Polyangiaceae	g__Chondromyces	s__Chondromyces_crocatus
Streptomyces_pristinaespiralis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_pristinaespiralis
Streptomyces_sp._NA02950	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_sp._NA02950
Acidaminococcus_intestini	k__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus_intestini
Bradyrhizobium_japonicum	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_japonicum
Paracoccus_contaminans	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccus_contaminans
Kribbella_qitaiheensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Kribbellaceae	g__Kribbella	s__Kribbella_qitaiheensis
Polaromonas_sp._JS666	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__Polaromonas_sp._JS666
Anoxybacillus_flavithermus	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Anoxybacillus	s__Anoxybacillus_flavithermus
Kaistella_antarctica	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Kaistella	s__Kaistella_antarctica
Herbaspirillum_robiniae	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__Herbaspirillum_robiniae
Clostridium_sp._JN_1	
Flavobacterium_psychrophilum	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium_psychrophilum
Lutibacter_profundi	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Lutibacter	s__Lutibacter_profundi
Flavobacterium_arcticum	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium_arcticum
Diaphorobacter_sp._HDW4A	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Diaphorobacter	s__Diaphorobacter_sp._HDW4A
Acidovorax_sp._HDW3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_sp._HDW3
Streptomyces_sp._So133	
Nocardioides_dokdonensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_dokdonensis
Bosea_sp._Tri_49	
Frankia_alni	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Frankiales	f__Frankiaceae	g__Frankia	s__Frankia_alni
Streptomyces_nojiriensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_nojiriensis
Agromyces_marinus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	s__Agromyces_marinus
Clostridium_novyi	k__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium_novyi
Protaetiibacter_larvae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Protaetiibacter	s__Protaetiibacter_larvae
Streptomyces_vietnamensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_vietnamensis
Bifidobacterium_subtile	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_subtile
Campylobacter_sp._RM16192	k__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter_sp._RM16192
Chryseobacterium_sp._G0186	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__Chryseobacterium_sp._G0186
Hymenobacter_sp._5317J_9	
Streptomyces_sp._NHF165	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_sp._NHF165
Streptomyces_asoensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_asoensis
Corynebacterium_zhongnanshanii	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_zhongnanshanii
Achromobacter_sp._AONIH1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	s__Achromobacter_sp._AONIH1
Thermoanaerobacterium_thermosaccharolyticum	k__Bacteria	p__Bacillota	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacterium	s__Thermoanaerobacterium_thermosaccharolyticum
Pseudomonas_multiresinivorans	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_multiresinivorans
Hymenobacter_sp._5413J_13	
Micromonospora_coxensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micromonosporales	f__Micromonosporaceae	g__Micromonospora	s__Micromonospora_coxensis
Antarcticibacterium_flavum	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Antarcticibacterium	s__Antarcticibacterium_flavum
Labilibaculum_antarcticum	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Marinilabiliales	f__Marinifilaceae	g__Labilibaculum	s__Labilibaculum_antarcticum
Pulveribacter_suum	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Pulveribacter	s__Pulveribacter_suum
Nocardia_sp._CS682	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Nocardia	s__Nocardia_sp._CS682
Melaminivora_jejuensis	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Melaminivora	s__Melaminivora_jejuensis
Pyxidicoccus_sp._SCPEA002	k__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Pyxidicoccus	s__Pyxidicoccus_parkwaysis
Denitrobacterium_detoxificans	k__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Denitrobacterium	s__Denitrobacterium_detoxificans
Fibrella_aestuarina	k__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Spirosomataceae	g__Fibrella	s__Fibrella_aestuarina
Runella_sp._SP2	k__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Spirosomataceae	g__Runella	s__Runella_sp._SP2
Streptacidiphilus_bronchialis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Peterkaempfera	s__Peterkaempfera_bronchialis
Streptomyces_harbinensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_harbinensis
Sphingomonas_melonis	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_melonis
Corynebacterium_imitans	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_imitans
Bradyrhizobium_sp._1(2017)	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._1(2017)
Mycolicibacterium_celeriflavum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__Mycolicibacterium_celeriflavum
Corynebacterium_marinum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_marinum
Weizmannia_coagulans	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Heyndrickxia	s__Heyndrickxia_coagulans
Arthrobacter_sp._FW305_BF8	
Paraburkholderia_acidiphila	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Paraburkholderia	s__Paraburkholderia_acidiphila
Clostridium_isatidis	k__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium_isatidis
Microbacterium_sp._10M_3C3	
Rufibacter_radiotolerans	k__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Rufibacter	s__Rufibacter_radiotolerans
Aeromonas_salmonicida	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_salmonicida
Peptoclostridium_acidaminophilum	k__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Peptoclostridiaceae	g__Peptoclostridium	s__Peptoclostridium_acidaminophilum
Streptomyces_sp._QHH_9511	
