Name	Kingdom	Phylum	Class	Order	Family	Genus	Species
Arachnia_propionica	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__Arachnia_propionica
Neisseria_sp._oral_taxon_014	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria_sp._oral_taxon_014
Streptococcus_gordonii	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_gordonii
Streptococcus_sp._oral_taxon_061	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_sp._oral_taxon_061
Actinomyces_sp._oral_taxon_169	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces_sp._oral_taxon_169
Veillonella_atypica	k__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella_atypica
Actinomyces_sp._HMT_175	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces_sp._HMT_175
Propionibacterium_acidifaciens	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Propionibacterium	s__Propionibacterium_acidifaciens
Haemophilus_parahaemolyticus	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__Haemophilus_parahaemolyticus
Prevotella_intermedia	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_intermedia
Leptotrichia_sp._oral_taxon_212	k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia	s__Leptotrichia_sp._oral_taxon_212
Veillonella_dispar	k__Bacteria	p__Bacillota	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella_dispar
Gemella_sanguinis	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Gemellaceae	g__Gemella	s__Gemella_sanguinis
