#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV10	2114.0	1358.0	296.0	3170.0	331.0	2727.0	289.0	77.0	7.0	1348.0	720.0	445.0	64.0	8.0	65.0	55.0	61.0	456.0	39.0	746.0	55.0	71.0	7.0	133.0	30.0	125.0	222.0	97.0	2112.0	22.0	34.0	1764.0	11.0	60.0	7803.0	35.0	3489.0	11.0	0.0	702.0	0.0	30.0	27.0	679.0	62.0	189.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV11	106.0	42.0	87.0	119.0	85.0	321.0	83.0	214.0	264.0	65.0	1514.0	294.0	308.0	886.0	0.0	8.0	40.0	1389.0	30.0	274.0	780.0	4722.0	2947.0	2476.0	1407.0	394.0	677.0	2069.0	4.0	98.0	325.0	88.0	543.0	530.0	36.0	2043.0	441.0	151.0	401.0	27.0	496.0	163.0	473.0	653.0	41.0	53.0	663.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
ASV12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	6570.0	5076.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	452.0	276.0	0.0	103.0	1842.0	0.0	0.0	605.0	715.0	0.0	0.0	0.0	0.0	2181.0	0.0	203.0	0.0	0.0	6249.0	117.0	50.0	0.0	0.0	55.0	3566.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_danieliae
ASV13	1750.0	1321.0	267.0	2725.0	276.0	2261.0	260.0	60.0	4.0	1241.0	703.0	439.0	64.0	5.0	54.0	27.0	38.0	423.0	25.0	525.0	50.0	47.0	6.0	118.0	50.0	108.0	192.0	139.0	1801.0	16.0	28.0	1503.0	21.0	85.0	6278.0	19.0	3404.0	0.0	0.0	549.0	0.0	13.0	0.0	427.0	79.0	163.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV14	566.0	187.0	3103.0	171.0	1204.0	214.0	182.0	2540.0	13065.0	355.0	303.0	231.0	25.0	0.0	114.0	112.0	163.0	40.0	185.0	18.0	0.0	7.0	2.0	205.0	227.0	435.0	409.0	30.0	0.0	4.0	0.0	95.0	0.0	19.0	82.0	393.0	278.0	0.0	18.0	49.0	0.0	23.0	50.0	33.0	197.0	81.0	3.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella; s__
ASV15	17.0	0.0	0.0	6.0	12.0	34.0	0.0	15.0	24.0	150.0	0.0	10.0	39.0	0.0	106.0	25.0	106.0	2308.0	14.0	925.0	25.0	0.0	50.0	281.0	9.0	48.0	19.0	32.0	14588.0	45.0	41.0	113.0	25.0	56.0	41.0	33.0	36.0	0.0	0.0	544.0	0.0	118.0	0.0	478.0	47.0	113.0	0.0	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
ASV16	0.0	0.0	0.0	49.0	0.0	0.0	0.0	55.0	62.0	0.0	0.0	85.0	4312.0	2653.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	180.0	0.0	68.0	84.0	2140.0	0.0	0.0	700.0	365.0	0.0	0.0	0.0	0.0	2070.0	0.0	79.0	0.0	0.0	3908.0	100.0	0.0	0.0	0.0	44.0	3418.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_danieliae
ASV17	2519.0	565.0	489.0	1077.0	501.0	362.0	581.0	826.0	1190.0	1053.0	729.0	319.0	157.0	0.0	199.0	84.0	214.0	811.0	119.0	410.0	41.0	18.0	0.0	126.0	109.0	340.0	257.0	130.0	682.0	51.0	90.0	575.0	23.0	0.0	877.0	98.0	543.0	18.0	20.0	1384.0	0.0	45.0	162.0	227.0	125.0	222.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV18	240.0	2736.0	143.0	3226.0	393.0	1191.0	153.0	0.0	0.0	2724.0	1029.0	260.0	44.0	0.0	95.0	0.0	91.0	82.0	0.0	61.0	59.0	37.0	0.0	34.0	49.0	0.0	254.0	29.0	0.0	9.0	0.0	2009.0	0.0	84.0	369.0	0.0	978.0	0.0	0.0	304.0	0.0	0.0	0.0	169.0	62.0	83.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
ASV19	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	38.0	0.0	1407.0	5289.0	231.0	0.0	6683.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.0	0.0	38.0	26.0	124.0	0.0	0.0	62.0	6.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	84.0	159.0	2374.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus_Arthromitus
