#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV17	1410	312	279	602	322	205	343	431	601	663	376	184	66	0	98	44	101	472	57	229	19	8	0	73	51	187	147	72	390	27	46	279	12	0	453	50	235	9	10	674	0	45	85	118	57	120	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV18	134	1499	81	1806	252	676	90	0	0	1717	529	150	18	0	47	0	43	47	0	35	27	17	0	20	23	0	145	16	0	4	0	975	0	39	190	0	419	0	0	148	0	0	0	87	28	45	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
ASV19	0	0	27	0	0	0	0	0	0	0	0	5	17	0	690	2816	111	0	3246	0	0	0	0	0	0	0	0	119	0	20	13	60	0	0	32	3	0	0	0	31	0	0	0	44	74	1283	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus_Arthromitus
ASV20	0	0	0	0	0	2	0	0	0	0	0	0	49	250	41	167	0	432	15	1304	1226	43	124	392	164	100	54	53	0	90	511	54	202	92	387	15	6	149	54	6	216	114	179	1931	4	28	126	Unassigned
ASV21	7	2	259	9	16	0	11	3	30	7	3	26	23	0	1357	1654	620	0	1758	0	0	0	0	1	0	0	3	46	0	15	87	79	0	4	35	5	0	0	8	24	0	0	0	50	1415	710	4	k__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter
ASV22	85	115	34	382	58	26	32	11	34	71	94	70	108	0	234	159	107	122	167	44	7	20	0	7	5	5	37	38	0	19	0	3569	10	64	86	5	1579	0	0	195	0	12	88	142	84	143	0	k__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter
ASV23	579	388	84	396	96	315	82	0	0	537	1008	91	54	12	9	13	47	501	0	83	19	21	0	48	50	0	0	44	0	17	0	302	0	13	792	7	1077	0	0	1455	0	47	48	106	20	72	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV24	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	63	73	0	0	0	0	0	0	103	0	7833	0	11	0	0	1	94	0	0	0	0	56	0	15	11	6	81	30	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Rodentibacter
ASV25	17	13	14	17	14	114	7	0	5	188	0	19	18	0	14	6	9	713	0	234	43	20	13	30	0	39	6	13	4650	7	0	222	19	43	765	9	652	2	4	208	0	32	13	208	41	50	7	k__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Coriobacteriaceae_UCG-002; s__
ASV26	60	926	40	45	103	197	40	3	3	2070	67	72	15	0	85	5	49	635	0	450	19	12	3	40	0	16	4	30	4	7	4	598	24	117	238	6	333	0	12	809	0	46	7	445	29	62	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
