"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032965","BP","GO:0032965","regulation of collagen biosynthetic process","2/76","40/18903",0.0112727974107266,0.0488562148650663,0.0316820247595001,"INHBA/IL6",2
"GO:0045923","BP","GO:0045923","positive regulation of fatty acid metabolic process","2/76","40/18903",0.0112727974107266,0.0488562148650663,0.0316820247595001,"PTGS2/IL1B",2
"GO:0048246","BP","GO:0048246","macrophage chemotaxis","2/76","40/18903",0.0112727974107266,0.0488562148650663,0.0316820247595001,"CCL3/THBS1",2
"GO:1901186","BP","GO:1901186","positive regulation of ERBB signaling pathway","2/76","40/18903",0.0112727974107266,0.0488562148650663,0.0316820247595001,"EREG/PLAUR",2
"GO:0051702","BP","GO:0051702","biological process involved in interaction with symbiont","3/76","116/18903",0.0114388139681809,0.0494779468091139,0.0320852022651561,"CCL3/TREM1/CCL4",3
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","4/76","218/18903",0.0115640989301643,0.0497256253997066,0.032245815592677,"SOD2/CCL3/NUPR1/HIF1A",4
"GO:0044706","BP","GO:0044706","multi-multicellular organism process","4/76","218/18903",0.0115640989301643,0.0497256253997066,0.032245815592677,"TIMP1/PTGS2/IL1B/FOSB",4
"GO:1901215","BP","GO:1901215","negative regulation of neuron death","4/76","218/18903",0.0115640989301643,0.0497256253997066,0.032245815592677,"SOD2/SLC7A11/TNFRSF1B/HIF1A",4
"GO:0071735","CC","GO:0071735","IgG immunoglobulin complex","5/79","10/19869",2.16807990505833e-10,3.59901264239682e-08,3.0124899733442e-08,"IGLC3/IGHG4/IGKC/IGHG1/IGHG3",5
"GO:0042571","CC","GO:0042571","immunoglobulin complex, circulating","6/79","76/19869",5.70738345792522e-07,4.73712827007793e-05,3.96512956024279e-05,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3",6
"GO:0009897","CC","GO:0009897","external side of plasma membrane","10/79","462/19869",1.43930083701566e-05,0.000796413129815334,0.000666623545565149,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3/FCN1/THBS1/ANPEP/CLEC4E",10
"GO:0072562","CC","GO:0072562","blood microparticle","6/79","145/19869",2.4423802206316e-05,0.000866001502849379,0.000724871264274686,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3",6
