Component,Variance_Explained,Cumulative_Variance
PC1,58.877,58.877
PC2,33.81,92.68700000000001
PC3,4.263999999999999,96.951
PC4,3.003,99.954
PC5,0.032,99.98599999999999
PC6,0.013999999999999999,100
PC7,0,100
