"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Aquabacterium","DB_Treated - WT_Control","DB_Treated","Dunn",0.5314,"r (|Z|/sqrt(N))",1.5941,0.110912117486589,0.332736352459766,"ns"
"Mangrovibacter","DB_Control - DB_Treated","DB_Control","Dunn",0.519,"r (|Z|/sqrt(N))",1.557,0.119470986771701,0.358412960315102,"ns"
"Brevibacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.5054,"r (|Z|/sqrt(N))",1.5162,0.129469777179293,0.19420466576894,"ns"
"Rothia","DB_Treated - WT_Control","DB_Treated","Dunn",0.5054,"r (|Z|/sqrt(N))",1.5162,0.129469777179293,0.388409331537879,"ns"
"Alloprevotella","DB_Control - DB_Treated","DB_Treated","Dunn",0.499,"r (|Z|/sqrt(N))",-1.497,0.134403047888473,0.201604571832709,"ns"
"Coriobacteriaceae_UCG-002","DB_Control - WT_Control","WT_Control","Dunn",0.499,"r (|Z|/sqrt(N))",-1.497,0.134403047888473,0.403209143665418,"ns"
"Enhydrobacter","DB_Control - WT_Control","WT_Control","Dunn",0.499,"r (|Z|/sqrt(N))",-1.497,0.134403047888473,0.201604571832709,"ns"
"Others","DB_Control - WT_Control","WT_Control","Dunn",0.4969,"r (|Z|/sqrt(N))",-1.4907,0.136037128114144,0.408111384342431,"ns"
"Altererythrobacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.4924,"r (|Z|/sqrt(N))",-1.4771,0.139649398610429,0.209474097915644,"ns"
"Altererythrobacter","DB_Control - WT_Control","WT_Control","Dunn",0.4924,"r (|Z|/sqrt(N))",-1.4771,0.139649398610429,0.418948195831288,"ns"
"Massilia","DB_Control - DB_Treated","DB_Treated","Dunn",0.4899,"r (|Z|/sqrt(N))",-1.4697,0.141644690295137,0.212467035442705,"ns"
"Massilia","DB_Control - WT_Control","WT_Control","Dunn",0.4899,"r (|Z|/sqrt(N))",-1.4697,0.141644690295137,0.42493407088541,"ns"
"Bacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.474,"r (|Z|/sqrt(N))",1.4221,0.154993084226042,0.232489626339063,"ns"
"Methylobacterium-Methylorubrum","DB_Control - DB_Treated","DB_Treated","Dunn",0.474,"r (|Z|/sqrt(N))",-1.4221,0.154993084226042,0.464979252678127,"ns"
"Pseudarthrobacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.4671,"r (|Z|/sqrt(N))",-1.4013,0.161124949289052,0.241687423933578,"ns"
"Lactobacillus","DB_Control - WT_Control","WT_Control","Dunn",0.4472,"r (|Z|/sqrt(N))",-1.3416,0.179712494879,0.2695687423185,"ns"
"Rodentibacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.4472,"r (|Z|/sqrt(N))",-1.3416,0.179712494879,0.179712494879,"ns"
"Rodentibacter","DB_Control - WT_Control","DB_Control","Dunn",0.4472,"r (|Z|/sqrt(N))",1.3416,0.179712494879,0.2695687423185,"ns"
"Bacteroides","DB_Control - DB_Treated","DB_Treated","Dunn",0.4472,"r (|Z|/sqrt(N))",-1.3416,0.179712494879,0.2695687423185,"ns"
"Bacteroides","DB_Control - WT_Control","WT_Control","Dunn",0.4472,"r (|Z|/sqrt(N))",-1.3416,0.179712494879,0.539137484637,"ns"
"Sphingomonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.4432,"r (|Z|/sqrt(N))",1.3295,0.183681348762711,0.275522023144066,"ns"
"Candidatus_Saccharimonas","DB_Control - WT_Control","WT_Control","Dunn",0.4355,"r (|Z|/sqrt(N))",-1.3064,0.191418425237607,0.287127637856411,"ns"
"Acidovorax","DB_Control - DB_Treated","DB_Treated","Dunn",0.4355,"r (|Z|/sqrt(N))",-1.3064,0.191418425237607,0.287127637856411,"ns"
"Faecalibaculum","DB_Treated - WT_Control","WT_Control","Dunn",0.4277,"r (|Z|/sqrt(N))",-1.2832,0.199405447533916,0.299108171300874,"ns"
"Kocuria","DB_Control - WT_Control","DB_Control","Dunn",0.4259,"r (|Z|/sqrt(N))",1.2778,0.201320572455596,0.301980858683394,"ns"
"Muribaculaceae","DB_Control - WT_Control","WT_Control","Dunn",0.4241,"r (|Z|/sqrt(N))",-1.2724,0.203224634648643,0.60967390394593,"ns"
"Mangrovibacter","DB_Control - WT_Control","DB_Control","Dunn",0.4152,"r (|Z|/sqrt(N))",1.2456,0.212911902811504,0.319367854217257,"ns"
"Alkanindiges","DB_Control - DB_Treated","DB_Control","Dunn",0.4082,"r (|Z|/sqrt(N))",-1.2247,0.220671361919847,0.33100704287977,"ns"
"Alkanindiges","DB_Treated - WT_Control","DB_Treated","Dunn",0.4082,"r (|Z|/sqrt(N))",1.2247,0.220671361919847,0.66201408575954,"ns"
"Barnesiella","DB_Control - DB_Treated","DB_Control","Dunn",0.4082,"r (|Z|/sqrt(N))",1.2247,0.220671361919847,0.33100704287977,"ns"
"Barnesiella","DB_Control - WT_Control","DB_Control","Dunn",0.4082,"r (|Z|/sqrt(N))",1.2247,0.220671361919847,0.66201408575954,"ns"
"Brevundimonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.4061,"r (|Z|/sqrt(N))",1.2182,0.223140692830526,0.669422078491579,"ns"
"Muribaculaceae","DB_Control - DB_Treated","DB_Treated","Dunn",0.3992,"r (|Z|/sqrt(N))",-1.1976,0.231084499344048,0.346626749016072,"ns"
"Corynebacterium","DB_Treated - WT_Control","DB_Treated","Dunn",0.3992,"r (|Z|/sqrt(N))",1.1976,0.231084499344048,0.693253498032145,"ns"
"Acinetobacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.3975,"r (|Z|/sqrt(N))",-1.1926,0.233037982273905,0.699113946821716,"ns"
"Mitochondria","DB_Treated - WT_Control","WT_Control","Dunn",0.3975,"r (|Z|/sqrt(N))",-1.1926,0.233037982273905,0.699113946821716,"ns"
"Others","DB_Treated - WT_Control","WT_Control","Dunn",0.3975,"r (|Z|/sqrt(N))",-1.1926,0.233037982273905,0.349556973410858,"ns"
"Prevotellaceae_UCG-001","DB_Control - DB_Treated","DB_Treated","Dunn",0.3892,"r (|Z|/sqrt(N))",-1.1677,0.242908260904324,0.364362391356486,"ns"
"Prevotellaceae_UCG-001","DB_Control - WT_Control","WT_Control","Dunn",0.3892,"r (|Z|/sqrt(N))",-1.1677,0.242908260904324,0.728724782712972,"ns"
"Blautia","DB_Treated - WT_Control","DB_Treated","Dunn",0.381,"r (|Z|/sqrt(N))",1.1431,0.252999061474684,0.758997184424053,"ns"
"Geobacillus","DB_Control - WT_Control","WT_Control","Dunn",0.381,"r (|Z|/sqrt(N))",-1.1431,0.252999061474684,0.379498592212026,"ns"
"Burkholderia-Caballeronia-Paraburkholderia","DB_Control - WT_Control","WT_Control","Dunn",0.381,"r (|Z|/sqrt(N))",-1.1431,0.252999061474684,0.379498592212026,"ns"
