"","dbN.1.O","dbN.2.O","dbN.3.O","dbS.1.O","dbS.2.O","dbS.3.O","WTN.1.O","WTN.2.O","WTN.3.O"
"Anoxybacillus",0,0,0,0.000168474964620257,0.000876069816025339,0.00101084978772154,0,0,0
"Delftia",0.000134779971696206,0.000505424893860772,0.000404339915088618,0.00272929442684817,0.00404339915088618,0.00245973448345576,0.000808679830177236,0.00737920345036728,0.00121301974526585
"Bacillus",6.7389985848103e-05,0,0.000774984837253184,0.0142866769997978,0.00394231417211402,0.00882808814610149,0.00586292876878496,0,0.000808679830177236
"Cutibacterium",0.00067389985848103,0.000404339915088618,0.00320102432778489,0.0129051822899117,0.00862591818855718,0.00684008356358245,0.00175213963205068,0.000202169957544309,0.00175213963205068
"Streptococcus",0.843250892917312,0.848743176763933,0.800727811847159,0.573589864546128,0.766864343958488,0.595761169890154,0.653750252712447,0.214502324954512,0.747051688119145
"Rodentibacter",0.00737920345036728,0.00522272390322798,0.00812049329469641,0.0742637644046095,0.0172518363771144,0.0814407978974324,0.00259451445515196,0.00067389985848103,0.00141518970281016
"Lawsonella",0.000269559943392412,0,0.000134779971696206,0.000707594851405081,0.000774984837253184,0.000370644922164566,0.000336949929240515,0,0.000134779971696206
