"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Eubacterium_siraeum_group","DB_Control - WT_Control","WT_Control","Dunn",0.2485,"r (|Z|/sqrt(N))",-0.7454,0.456056540250256,0.456056540250256,"ns"
"Odoribacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.2485,"r (|Z|/sqrt(N))",-0.7454,0.456056540250256,0.684084810375384,"ns"
"Erysipelatoclostridium","DB_Control - DB_Treated","DB_Treated","Dunn",0.2485,"r (|Z|/sqrt(N))",-0.7454,0.456056540250256,0.684084810375384,"ns"
"ASF356","DB_Treated - WT_Control","DB_Treated","Dunn",0.2485,"r (|Z|/sqrt(N))",0.7454,0.456056540250256,0.456056540250256,"ns"
"GCA-900066575","DB_Treated - WT_Control","DB_Treated","Dunn",0.2485,"r (|Z|/sqrt(N))",0.7454,0.456056540250256,0.456056540250256,"ns"
"Others","DB_Control - DB_Treated","DB_Treated","Dunn",0.2485,"r (|Z|/sqrt(N))",-0.7454,0.456056540250256,0.456056540250256,"ns"
"RF39","DB_Treated - WT_Control","WT_Control","Dunn",0.2335,"r (|Z|/sqrt(N))",-0.7006,0.483522059868049,0.483522059868049,"ns"
"Lysobacter","DB_Control - WT_Control","DB_Control","Dunn",0.2335,"r (|Z|/sqrt(N))",0.7006,0.483522059868049,1,"ns"
"SC-I-84","DB_Treated - WT_Control","DB_Treated","Dunn",0.2335,"r (|Z|/sqrt(N))",0.7006,0.483522059868049,0.725283089802073,"ns"
"Staphylococcus","DB_Control - WT_Control","WT_Control","Dunn",0.2245,"r (|Z|/sqrt(N))",-0.6736,0.500544623244332,0.750816934866498,"ns"
"Bilophila","DB_Control - DB_Treated","DB_Treated","Dunn",0.2245,"r (|Z|/sqrt(N))",-0.6736,0.500544623244332,0.500544623244332,"ns"
"UCG-009","DB_Treated - WT_Control","DB_Treated","Dunn",0.2245,"r (|Z|/sqrt(N))",0.6736,0.500544623244332,0.500544623244332,"ns"
"MB-A2-108","DB_Control - DB_Treated","DB_Control","Dunn",0.2177,"r (|Z|/sqrt(N))",0.6532,0.513629113393124,0.770443670089686,"ns"
"Chloroplast","DB_Control - WT_Control","DB_Control","Dunn",0.2085,"r (|Z|/sqrt(N))",0.6256,0.531544857238088,0.531544857238088,"ns"
"Chloroplast","DB_Treated - WT_Control","WT_Control","Dunn",0.2085,"r (|Z|/sqrt(N))",-0.6256,0.531544857238088,0.797317285857132,"ns"
"Corynebacterium","DB_Control - WT_Control","WT_Control","Dunn",0.2076,"r (|Z|/sqrt(N))",-0.6228,0.533416513472694,0.800124770209042,"ns"
"Lawsonella","DB_Control - WT_Control","WT_Control","Dunn",0.2076,"r (|Z|/sqrt(N))",-0.6228,0.533416513472694,0.800124770209042,"ns"
"Paracoccus","DB_Control - WT_Control","WT_Control","Dunn",0.2076,"r (|Z|/sqrt(N))",-0.6228,0.533416513472694,0.800124770209042,"ns"
