log2_PSME3_TPM,log2_PGP9_5_TPM
6.191778049434751,0.29576219128024306
6.511990066062612,0.3600231539818548
4.228327670688047,0.38582960559475765
6.090374109346948,0.45059617565524235
6.401831909398844,0.47640735257056477
5.9841624179477115,0.5019586378528231
4.5969696044921875,0.49542275705645267
6.75435990448272,0.5535715410786288
6.292999541524068,0.5535132623487904
5.456334769832809,0.592281218497984
6.601712074485245,0.6567185924899199
6.517376062471948,0.7084102507560495
3.5364817990862916,0.708665417086694
6.364129934533494,0.7215686428931463
6.282227548705397,0.7341584236391139
6.92427356110441,0.7473750945060491
4.732173022504769,0.7473750945060491
4.183731544809667,0.7602735950100818
6.625095990658663,0.8632489604334683
6.3279562492986985,0.9019751764112911
4.993139078629937,0.914861863659274
6.868574652680374,0.9150327620967751
5.90624134330818,0.9343033329133075
7.0631970280590775,1.0051261655745964
6.695113943980028,1.0051844443044367
6.258848234823833,1.04389412172379
5.675652550195663,1.0570477885584673
6.030198157154679,1.0828589654737915
4.1397134174778385,1.0828589654737915
6.765620726443279,1.0836835307459687
6.952133534840664,1.121563917590727
6.540755376353513,1.18577132686492
6.143304081750729,1.1989879977318552
6.25195400162702,1.2247897240423384
5.129624152739986,1.224481004284275
5.954604527252581,1.1784494707661288
5.526352723154174,1.2503457346270164
4.9258188901726605,1.2567776587701616
4.187074781106233,1.2760939075100808
5.244772837448805,1.2893058530745964
5.892600478989003,1.3277650894657267
6.413533893907092,1.3538219821068544
6.477235859129545,1.3925363848286292
6.001709148742567,1.4052127961189527
6.311811738211119,1.4053868447580644
5.429404787786131,1.4697005733366932
6.210374267139811,1.4955070249495979
4.621505408569555,1.5084102507560484
5.856733668000309,1.5470616494455651
5.517415894212158,1.5470616494455651
6.569728447248092,1.5409148185483872
5.348531671657597,1.5142420614919363
6.660549417218357,1.5634710496471786
5.589476607646292,1.6247897240423388
6.489549290984066,1.6889215284778238
7.318381290675493,1.7667252079133071
6.553601030387399,1.7408155871975808
6.769831166019132,1.7194934475806463
6.260683563068055,1.7922229397681448
6.847864339338813,1.7986438382056456
6.675405286586905,1.8180293913810495
5.794144471201049,1.8183381111391128
5.036227049904623,1.8309908959173384
5.4514394106085895,1.792102444556452
5.892600478989003,1.921313476562501
6.239139577430711,1.9341584236391132
6.731307682057899,1.9989832724294363
6.870413597011053,2.0118912235383064
6.302054222011053,2.0375378024193544
5.675217304880357,2.057018649193548
6.381217915451077,2.1022090788810495
5.8495125077143175,2.114861863659275
6.863915160913656,2.1664164881552423
6.770566875245455,2.1469891948084676
6.563674461049708,2.2264530304939516
5.906325992604774,2.2312555128528224
6.436586116331911,2.308410250756049
5.3515626095783775,2.3086654170866936
6.99133519938005,2.315563571068548
6.269620227642505,2.3471199281754043
5.7070383725945355,2.360278320312501
4.745383243800494,2.372926379788307
6.732815918845377,2.3858296055947577
3.449193293573184,2.385771326864919
6.575113786187163,2.3989832724294367
4.302223465815053,2.4247897240423395
6.073286128429364,2.450600900957662
5.7867157146789445,2.476093907510082
6.452744105559919,2.489055412046371
6.385673920170837,2.489310578377017
6.0021555710523735,2.5019003591229847
5.375544823692774,2.501958637852823
4.339925440680402,2.5538219821068555
5.462777156590131,2.5547284526209673
7.37669725948861,2.5925363848286302
6.623587753871185,2.5925316595262107
5.048834206599949,2.5922229397681456
5.882713769881901,2.605077337449597
5.941074446673025,2.656797347530242
6.2833284826638245,2.6441957535282263
5.657451800854886,2.6825455204133064
6.499102991402042,2.65506079889113
6.653861300949562,2.734158423639114
6.009584327574478,2.7344671433971772
7.2121695992762564,2.747119928175403
6.222981588202704,2.7470616494455644
5.298632801542162,2.760273595010082
5.94290961054968,2.798674552671371
6.365875189351437,2.7988525390625005
4.60718250103442,2.863190681703629
6.0679001320200285,2.876407352570565
4.5137854803828406,2.9019586378528226
7.2337135849136,2.9406683152721778
6.375831919041742,2.9796284337197587
7.054467466618043,2.99253165952621
6.5023508945102115,2.9867541897681456
6.008654171517336,3.005439610635081
5.46559869023157,3.0054348853326616
5.64364081610469,2.9857051726310484
5.895431217214149,3.0374432963709683
5.5463886363716055,3.0699510143649196
6.8488696113737095,3.095762191280242
5.82980368595363,3.095448746219758
6.788511211182955,3.1083519720262105
5.740558836575684,3.056652438256049
6.475150363449562,3.1212819745463714
4.255257652734725,3.134216702368952
6.575113786187163,3.147370369203629
7.007368597992874,3.1015144594254034
6.338257493407765,3.166247952368952
4.646927236012539,3.186080046622984
5.582047851124186,3.1986745526713714
6.982407081919042,3.250287455897178
6.172672292274461,3.2503457346270164
6.047286138072263,3.3022090788810488
5.502370509039778,3.3022138041834683
6.782647562626234,3.314905966481855
4.672927062002076,3.3667299332157263
7.0578110316497416,3.418029391381049
5.023016828608898,3.4441492880544358
7.119099423530072,3.46995101436492
6.594684046089542,3.483003087197581
6.108272093630779,3.455263199344759
5.985145335993604,3.46140372983871
6.865988493393739,3.507731382308468
5.594862604055628,3.5473703692036294
6.96197553596976,3.5602783203125004
6.377737267869165,3.5176679057459683
6.236027113197094,3.592979775705645
5.690880383366528,3.611891223538307
6.509551837585558,3.650600900957662
4.693337404535318,3.6374992124495975
6.614323997839991,3.663248960433468
5.437738552127749,3.6635041267641135
6.179893616928018,3.6889971333165326
6.255297566658719,3.7922229397681457
6.012716351548474,3.7922591670866943
6.414517798158382,3.7906635899697587
6.591271775415171,3.831241336945565
5.234000844630133,3.8441445627520165
5.681038546604999,3.8699510143649194
4.645997079955397,3.8828589654737904
6.75435990448272,3.9084102507560488
6.339638180963869,3.9342167023689516
6.20423448107187,3.9002669795866938
6.090374109346948,4.011886498235888
5.797487707497615,4.011577778477823
5.716024840541545,4.018243605090726
7.263591334892561,4.03769767515121
6.862651831799821,4.019280808971774
5.9924961822893295,4.050600900957662
4.073968856510183,4.1406100365423395
4.90157713967123,4.218087276335686
6.914431559975315,4.257047788558468
6.69316585958539,4.23760986328125
5.5508444767238,4.321568642893146
4.966209096583258,4.360022760206654
6.946747538431328,4.398983272429436
5.450948773423474,4.398732437626008
6.607429764643178,4.4247897240423395
5.289368881143401,4.424538889238912
6.843483614964374,4.476407352570565
5.614363829580201,4.476094301285283
7.118169431840496,4.489310578377016
6.732082182029847,4.499892893145161
5.903372471807675,4.566474373109879
6.377340155829219,4.592280824722783
6.477878536313398,4.598715505292339
5.368650754863527,4.66995101436492
7.036069476197824,4.646237477948589
