log2_PSME3_TPM,log2_TUBB3_TPM
6.7139589969778655,1.8017326038159371
5.834501347708895,1.4384081196581195
5.785983827493261,1.3272970085470084
6.278444825614637,1.3204615600448935
7.036657681940701,1.2856303418803419
6.656986349013129,1.2811379928315414
5.81832884097035,1.2555377492877493
5.748999428244712,1.2369177890011225
6.122110593808706,1.2371282267115602
5.570350404312668,1.084241452991453
6.6546598056032025,1.0841400112233446
5.783670985131728,1.070489844683393
5.4428653107898395,1.0287948933782267
6.58921832884097,1.0147970085470084
6.967328269215062,0.9475659371492705
6.365881227719329,0.8945639187574671
6.8325573797271915,0.8711770482603817
6.2981132075471695,0.8319266381766381
7.212242413703157,0.8158602150537634
5.947708894878706,0.7902599715099714
6.789430695091072,0.7739548260381595
5.670463437961916,0.7556750298685784
5.879522992730539,0.7556467452300787
6.9954259576901086,0.7301837822671158
5.297312750142939,0.7047208193041528
6.688148329657763,0.6862023007856343
5.588417871436739,0.676943041526375
5.775202156334231,0.6675747863247863
5.905267295597484,0.6548514660493828
6.697786490239321,0.6582140852974186
6.0293228783794826,0.6420103815937149
6.26112880829862,0.6420103815937149
6.558768275749408,0.6213874859708194
6.211859838274933,0.6120192307692307
5.475210324266928,0.5843504489337824
6.023180592991913,0.5842414529914529
6.452134596991566,0.5843787335722821
6.546843094012905,0.5748807519640854
6.138283100547252,0.5658319304152639
6.071698113207547,0.5564636752136751
6.85412072204525,0.5355289001122335
5.638118424484827,0.5265083632019117
6.6030779932179815,0.5265083632019117
7.015094339622641,0.5263710826210826
6.346630727762803,0.5147970085470085
6.0046952438918355,0.484841696535245
6.093261455525607,0.47544515669515663
6.521032426692804,0.47555415263748607
6.9511557624765175,0.4753437149270483
7.2284149204417005,0.47558243727598576
7.318876092460998,0.45472081930415276
5.125989044430919,0.4431750298685784
7.0547251490647715,0.4431467452300787
6.276549865229111,0.4314636752136752
5.5938087070162545,0.42231341189674537
6.080166942005043,0.422341696535245
6.3053990035122105,0.39916526374859723
7.118271665441477,0.3989548260381594
6.759412225023911,0.3899342891278376
7.233805756021216,0.3899342891278376
6.219145634239974,0.37833193041526386
4.8995739500912965,0.3667861409796895
6.058603599686984,0.3667861409796895
5.813689455198889,0.35497334455667795
5.902269367881054,0.3552120669056154
6.473697939309625,0.3552120669056154
