"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Paenibacillus_lautus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0.000370644922164566,0,0.000168474964620257,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus_phoenicis",0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0
"Paenibacillus_populi",0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus_thermoaerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_distasonis",6.7389985848103e-05,0.00101084978772154,0,0,0.00023586495046836,0.000640204865556978,0,0,6.7389985848103e-05,0.00134779971696206,0.00202169957544309,0,0.00023586495046836,0.000808679830177236,0,0,0,0.0011793247523418,0,0,0.00067389985848103,0.000336949929240515,0.000336949929240515,0.000101084978772154,0,0.000471729900936721,0,0,0.00134779971696206,0.000606509872632927,0.00154996967450637,0,0.000404339915088618,0.000808679830177236,0.000168474964620257,0.000101084978772154,0.000876069816025339,0.0022912595188355,0,0,0,0.0022912595188355,0.000303254936316463,0,0.00090976480894939,0.0011793247523418,0
"Parabacteroides_goldsteinii",3.36949929240515e-05,0.000134779971696206,0,3.36949929240515e-05,0.000471729900936721,0.000168474964620257,0.00107823977356965,0,0,0.000370644922164566,0.00397600916503808,0,0,0.000336949929240515,0.00023586495046836,0.000101084978772154,0.00101084978772154,0.000539119886784824,0.000168474964620257,0,0.000202169957544309,0.000471729900936721,0,0,0.0022238695329874,0.000640204865556978,0.000505424893860772,0,0.00067389985848103,0.000471729900936721,0.000876069816025339,0,0.000640204865556978,0.00090976480894939,0,0.000202169957544309,0,0.00299885437024058,0.0010445447806456,0,0,0.00114562975941775,0.000774984837253184,6.7389985848103e-05,0.000943459801873442,0.00138149470988611,0.00023586495046836
"Parabacteroides_gordonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7389985848103e-05
"Parabacteroides_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0.000202169957544309,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0.00023586495046836,0
"Parabacteroides_merdae",0,0,0.000134779971696206,0,0,0,0.000303254936316463,0,0,0,0.00148257968865827,0,0.00067389985848103,0,0.000269559943392412,0,0,0,0,0,0,0,0,0,0.000404339915088618,0,0,0,0,0,0.00128040973111396,0,0,0,0.000404339915088618,0,0.000168474964620257,0,0,0,0,3.36949929240515e-05,0,0,0.000202169957544309,0,0.000404339915088618
"Paracraurococcus_sp.",0,0,0.000101084978772154,0,0,0,0.000471729900936721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303254936316463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parageobacillus_toebii",0,0,0.00023586495046836,0,0,0,0.000168474964620257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202169957544309,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parapedobacter_soli",0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_secunda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedobacter_bauzanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370644922164566,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0
"Pelotomaculum_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023586495046836
"Peptoclostridium_phage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023586495046836,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus_coxii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0.000168474964620257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus_duerdenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcaceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
