"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Taxon"
142.038186123192,23.6835701434212,3.62490963997649,6.53356152170866,6.42237941644394e-11,2.98640642864643e-08,"Skermanella"
49.1464457314804,22.4895049945422,3.97280844761044,5.66085812872985,1.50617909698882e-08,2.17500680025986e-06,"Microlunatus"
48.3978069367553,22.385326084381,3.98065583227704,5.62352713411449,1.87097359162138e-08,2.17500680025986e-06,"Rubrobacter"
38.949092164702,22.2022038636579,3.92746863023008,5.65305695703475,1.57619046437892e-08,2.17500680025986e-06,"Agromyces"
278.644924842727,8.99826314354888,2.09725258084081,4.29050045080473,1.78270924077527e-05,0.001657919593921,"Pseudarthrobacter"
17.5171312363174,-6.63334380493061,2.08955325337048,-3.17452727956607,0.00150080782704286,0.116312606595822,"Deep_Sea_Euryarchaeotic_Group(DSEG)"
152.62347535183,8.44349583422856,2.71263826723483,3.11265085957648,0.00185415223763473,0.123168684357164,"Nocardioides"
95.0904010497915,7.99951308340765,2.62323472926819,3.04948428524324,0.00229234625497463,0.1332426260704,"Microvirga"
218.039574785664,-3.55135056926176,1.48437220217213,-2.3924933140522,0.0167343329848916,0.480093725300212,"Staphylococcus"
196.5288842199,7.04528952632312,2.87282217886214,2.45239318262073,0.0141909505505991,0.480093725300212,"Streptomyces"
142.911161671898,6.42779580081859,2.59902355771405,2.47315796031957,0.0133924933734485,0.480093725300212,"67-14"
63.4940855607388,6.3382805215924,2.6688173663257,2.37493977728369,0.017551813613126,0.480093725300212,"Solirubrobacter"
32.5619619499751,7.5066454968588,3.14364846419294,2.38787688329712,0.0169460176102975,0.480093725300212,"Pseudonocardia"
22.0328776817302,7.06626568638534,2.89745232635844,2.43878583336912,0.0147366991153019,0.480093725300212,"Amaricoccus"
15.6356378638428,7.86257708311393,3.29021401682564,2.38968560795922,0.0168628008612297,0.480093725300212,"Paenibacillus"
6.68730992194054,6.64828916136216,2.72049866449805,2.44377593274386,0.0145344502952625,0.480093725300212,"Dongia"
5.73385036788902,6.46384474562148,2.67784870213904,2.41381999679751,0.0157862590764436,0.480093725300212,"Pedosphaeraceae"
40.4873773847036,-3.33343735301656,1.57091799475769,-2.12196776925376,0.0338404447202901,0.486782271661759,"Alloprevotella"
57.5823948959675,-3.26392770328742,1.59227794097227,-2.04984796893839,0.0403792689282479,0.486782271661759,"Helicobacter"
74.0313601470798,4.49822120280834,2.25467915238324,1.9950604493121,0.0460362873088713,0.486782271661759,"Gaiella"
57.5782895491682,6.89876082105347,3.13623463705057,2.19969537341164,0.027828515278952,0.486782271661759,"Blastococcus"
62.2442461321689,5.01418758622873,2.4303613797452,2.0631448590392,0.0390988672155257,0.486782271661759,"Bryobacter"
56.7253015905525,4.42864196466954,2.15173268040753,2.05817479326975,0.0395733573760358,0.486782271661759,"Massilia"
39.8192298959565,4.7527609870635,2.34748580977523,2.02461755776005,0.042906649944843,0.486782271661759,"MB-A2-108"
39.0995304163525,4.54200565760988,2.09080648858632,2.17237017505189,0.0298277527605759,0.486782271661759,"KD4-96"
25.282695551685,8.68766783779596,3.90067727146324,2.22722036025733,0.0259325500308317,0.486782271661759,"Steroidobacter"
19.7286733098215,6.0368065670675,3.03337356406034,1.99012961627677,0.0465766590972367,0.486782271661759,"Cellulomonas"
25.1733060881143,6.72496327510718,3.31437617852845,2.02902836397195,0.0424554014041663,0.486782271661759,"BIrii41"
15.271573451582,-4.49395249904674,2.2799692896432,-1.9710583469087,0.0487172023656659,0.486782271661759,"Lachnospiraceae_UCG-006"
17.5992892364637,8.08080077015106,3.9059202976832,2.06885961675772,0.0385592620739938,0.486782271661759,"Iamia"
16.7520598322121,7.97796787694805,3.90622544822943,2.04237261332784,0.0411145842199548,0.486782271661759,"Geodermatophilus"
15.4217912250885,8.00436791697584,3.86603176271276,2.07043511493534,0.0384116163448894,0.486782271661759,"AKYG1722"
13.749074900237,7.73287443753916,3.90042037525263,1.98257461852129,0.0474149648241076,0.486782271661759,"Candidatus_Alysiosphaera"
13.4804630870271,7.73741624514579,3.38119480998795,2.28836747953407,0.0221161298278296,0.486782271661759,"S0134_terrestrial_group"
16.1550530200307,4.29418750872905,2.16334455972844,1.98497622092529,0.0471471171719673,0.486782271661759,"IMCC26256"
15.0831196685203,4.72488097529678,2.21488893965313,2.13323606918039,0.0329053656542214,0.486782271661759,"TRA3-20"
10.9279712131708,7.51370030435172,3.2848433981906,2.28738463102701,0.0221733825615021,0.486782271661759,"Ilumatobacter"
4.10564144475049,-5.08033352735889,2.4649683177159,-2.06101372210189,0.0393017309819056,0.486782271661759,"Gastranaerophilales"
9.58834110289884,5.51321272164674,2.77892815584541,1.98393496069692,0.0472630909136559,0.486782271661759,"Acidibacter"
9.77479446951829,-4.80401026680459,2.10693662685901,-2.28009243636641,0.0226022067306447,0.486782271661759,"Mangrovibacter"
5.60947923131724,6.34160058947872,2.91462453286357,2.17578645824689,0.0295712317304356,0.486782271661759,"Rhodococcus"
8.84262089056943,7.07046966242225,3.59483706549575,1.96684009138734,0.0492016489636617,0.486782271661759,"CCD24"
8.23050862486232,6.97179854537208,3.25892586110168,2.13929338761185,0.0324119148933435,0.486782271661759,"Roseomonas"
6.40037087065029,6.6379306128132,3.04293768896701,2.18142180067663,0.0291522326098616,0.486782271661759,"Pseudolabrys"
5.60000170129444,6.54384342958168,3.30053670755631,1.98266040023129,0.0474053757113454,0.486782271661759,"Virgisporangium"
4.58469336022117,6.25406650789546,2.73880886454041,2.28349870955487,0.022401008784805,0.486782271661759,"JG30-KF-CM66"
4.11871344953738,6.12705660314283,2.96855192438858,2.06398835499729,0.0390188205100084,0.486782271661759,"Nitrososphaeraceae"
10.3813849063371,7.43585320825091,3.87148644845506,1.92067137706713,0.0547731503144585,0.519786018290269,"Kribbella"
10.7187388451276,5.4650530978499,2.84020161380589,1.92417787219221,0.0543322917592833,0.519786018290269,"Pedomicrobium"
20.5250220820477,6.20974661065496,3.2892456645225,1.88789383463592,0.0590402044078867,0.519904534890822,"Mycobacterium"
8.83214363935449,7.24632920161733,3.85181675631927,1.88127568367032,0.0599344270159435,0.519904534890822,"Actinoplanes"
11.2786907064063,7.39527895915975,3.9080064348764,1.89234052768228,0.0584456244216419,0.519904534890822,"Noviherbaspirillum"
9.4827380417793,7.23449374279789,3.89459064443135,1.85757487841298,0.0632294087327377,0.519904534890822,"Ammoniphilus"
9.10732428783166,7.20259126972336,3.88476206242104,1.8540623991871,0.0637302333091976,0.519904534890822,"Steroidobacteraceae"
9.51043773435331,7.24021208273096,3.88327351054636,1.86446101802196,0.0622569909490829,0.519904534890822,"Limnochordaceae"
4.92885123437528,6.20858646535125,3.3400077156456,1.85885392906979,0.0630478458896293,0.519904534890822,"Rhizobacter"
5.369612555786,5.10411178917408,2.74028521518846,1.86262063557608,0.0625156589707169,0.519904534890822,"Nordella"
9.70695337713344,7.19495994057689,3.90511806495015,1.84244363958013,0.0654102834261501,0.524410030916548,"Micromonospora"
51.8751289712575,4.3362069322787,2.43815903648191,1.77847583664417,0.0753257370654885,0.529691866054142,"Vicinamibacteraceae"
33.4993743928819,4.20557309870565,2.3634304195091,1.77943596900101,0.0751683138489923,0.529691866054142,"Haliangium"
9.21324452745002,7.09336205657774,3.90377417794412,1.81705235324687,0.0692090974178951,0.529691866054142,"AKIW781"
7.96854976561317,6.97279845425783,3.90794862127619,1.78426052387065,0.074381341648339,0.529691866054142,"Planifilum"
8.76038747324719,7.08697954238046,3.89695366345723,1.81859476771227,0.0689732766803828,0.529691866054142,"Nonomuraea"
7.94758452875059,6.95175631447929,3.89917153260217,1.78288035198081,0.0746057820936994,0.529691866054142,"Roseisolibacter"
6.77129822777106,6.83623597231962,3.8897331719912,1.75750769269864,0.0788313117910158,0.529691866054142,"Pontibacter"
7.38423782423756,6.86601167572521,3.90498513454309,1.75826832604027,0.0787018643417651,0.529691866054142,"Nitrosospira"
6.58887033894481,6.8258088199581,3.8803400354525,1.75907491549568,0.0785647849063,0.529691866054142,"Sandaracinus"
6.68988069120445,6.81532392998799,3.88956991083337,1.75220502169294,0.0797385604812687,0.529691866054142,"Nocardia"
5.19437208226816,6.29966149129309,3.59523850078359,1.75222352840293,0.0797353794209237,0.529691866054142,"Hyphomicrobium"
