"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Deinococcota",0,0,0,0,0,0,0,0,0.000404339915088618,0,0,0,0,0,0,0.000202169957544309,0,0.000303254936316463,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0.000168474964620257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370644922164566,0,0,0,0,0,0,0,0,0,0,0,0
"Sumerlaeota",0,0,3.36949929240515e-05,0,0,0,0.000303254936316463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023586495046836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elusimicrobiota",0,0,0,0,0,0,0,0,0,0,0.000269559943392412,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,6.7389985848103e-05,0,3.36949929240515e-05,0.000303254936316463
"Nanoarchaeota",0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0.000269559943392412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dependentiae",0,0,0,0,0,0,0,0,0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armatimonadota",0,0,6.7389985848103e-05,0,6.7389985848103e-05,0,6.7389985848103e-05,0,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0
"SAR324_clade(Marine_group_B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05
"Fibrobacterota",0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zixibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154
"NB1-j",0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermotogota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7389985848103e-05
"GAL15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05
"Others",0.0105802277781547,0.000572814879709505,0.0992317541613355,0.0231484601388254,0.00572814879709094,0.000673899858483207,0.0651661163151216,0.0367949322730646,0.00491946896691586,0.000168474964623133,0.0637509266123075,0.145730844396523,0.0197115708605748,2.33146835171283e-15,0.0780039086191814,0.04730777006537,0.0433991508861822,0.000336949929242825,0.143068939955524,0.128276838061865,0.0182289911719157,0.000202169957546072,0.0690747354943093,0.0611227171642309,0.0984904643170027,0.000134779971697641,0.321079587573287,0.119212884965296,0.0183300761506856,0.000673899858482319,0.0766898038951441,0.510748702742773,0.0103106678347638,0.000640204865561156,0.0902351910506125,0.112103241458321,0.0595053575038771,0.00138149470988724,0.346182357301705,0.255913471258172,0.000404339915089036,0.000101084978773369,0.181683401846489,0.167261944874993,0.00141518970281385,0.00138149470988747,0.170867309117868
