NL,LP,LN,CA
0,0,0.474127658,0
0,0,1.106947911,0.927105589
0,0,0,0
0.729867913,0,0.719392678,0
0,0,0,0
0,0.549964555,0.454471687,0
0,0,0.926598302,0
0,0,0,0
0,1.05098424,0,1.079516757
0,0,1.321358754,0
1.220004975,0,0.357439454,0
0,0,1.118327407,0
0,0,0.790908986,0
0,0.883372241,0.473875851,0
0,0.651777496,0.653365735,0
0,0.530389537,0.454745015,0
0,0,0.45940035,0
0.734689246,1.369288406,0.472007291,0
0,0.596559364,0,0
0,0.615564934,0.677521863,1.099591024
1.225075804,0,0,0
1.457679447,0,0.388560599,0
0,0.808231383,0,0
0,1.264994516,1.048690598,0
0,0,0.808334835,0
0,1.321425934,0.69268084,0
0.783730962,0,0,0
0,0,0,0.496828506
0,0,0,1.239006623
0,0,0,0.95738616
0,0,1.260464835,0
0.950907712,0,1.150468139,0
0,0,0.98202875,1.802252745
0,0.695757362,0.655206595,0
0,0,1.322555726,0.839153019
0,1.073649994,0.648995413,0.951346431
0,0,1.127017724,0
0,0.706457931,0,0
0,1.075606298,0.82803897,0
0,0,0,0
0,1.442541274,1.276250212,0
0,0,0.461851415,1.26778506
0,0,1.025382728,1.490434998
1.238310322,0,0.592356258,0
0,0,0.713447739,0
0,0,1.263824496,0
0,0.89932298,0.756755441,0
1.512888026,0.905113296,1.185308103,0
2.251649772,1.539468001,0.474999641,0
0,1.343192968,0,0
0,0.486664465,0,0
0,0,0,0
0,0.851664429,0.609271116,0
