"Site","Genus","Eigengene","r","p_raw","p_adj","is_rescue_genus"
"Oral","Corynebacterium","EG_DB_down",-0.754545454545455,0.00728204100842911,0.194458764356417,TRUE
"Oral","Rodentibacter","EG_DB_up",0.745454545454545,0.0084547288850616,0.194458764356417,FALSE
"Oral","Rodentibacter","EG_DB_down",-0.7,0.0164709788365145,0.252555008826556,FALSE
"Oral","Corynebacterium","EG_DB_up",0.654545454545455,0.0288645989570018,0.33194288800552,TRUE
"Oral","Streptococcus","EG_DB_up",0.545454545454545,0.0826509573441752,0.709709998735872,TRUE
"Oral","Bacteroides","EG_DB_up",-0.481818181818182,0.133433838256829,0.709709998735872,TRUE
"Oral","Streptococcus","EG_DB_down",-0.472727272727273,0.14199852020632,0.709709998735872,TRUE
"Oral","Clostridia_UCG-014","EG_DB_up",-0.436363636363636,0.179664876580011,0.709709998735872,FALSE
"Oral","Clostridia_UCG-014","EG_DB_down",0.436363636363636,0.179664876580011,0.709709998735872,FALSE
"Oral","Alloprevotella","EG_DB_down",0.427272727272727,0.189943724965427,0.709709998735872,TRUE
"Oral","Lachnospiraceae_NK4A136_group","EG_DB_down",0.427272727272727,0.189943724965427,0.709709998735872,FALSE
"Oral","Geobacillus","EG_DB_up",0.418181818181818,0.200570217034051,0.709709998735872,TRUE
"Oral","Bacteroides","EG_DB_down",0.418181818181818,0.200570217034051,0.709709998735872,TRUE
"Oral","Lactobacillus","EG_DB_down",-0.381818181818182,0.24655957577897,0.810124320416617,FALSE
"Oral","Alloprevotella","EG_DB_up",-0.345454545454545,0.298089220903039,0.869649458464864,TRUE
"Oral","Cutibacterium","EG_DB_up",0.327272727272727,0.325894941012842,0.869649458464864,FALSE
"Oral","Brevibacillus","EG_DB_up",0.327272727272727,0.325894941012842,0.869649458464864,TRUE
"Oral","Lachnospiraceae_NK4A136_group","EG_DB_up",-0.318181818181818,0.340297614181903,0.869649458464864,FALSE
"Oral","Pseudomonas","EG_DB_up",0.272727272727273,0.417141437142531,0.885356249875957,TRUE
"Oral","Cutibacterium","EG_DB_down",-0.254545454545455,0.450036576888829,0.885356249875957,FALSE
"Oral","Brevibacillus","EG_DB_down",-0.245454545454545,0.466922366982016,0.885356249875957,TRUE
"Oral","Lactobacillus","EG_DB_up",0.218181818181818,0.519248247554982,0.885356249875957,FALSE
"Oral","Enterococcus","EG_DB_down",-0.218181818181818,0.519248247554982,0.885356249875957,TRUE
"Oral","Staphylococcus","EG_DB_down",-0.2,0.555445442105585,0.885356249875957,TRUE
"Oral","Muribaculaceae","EG_DB_up",0.190909090909091,0.573913168285521,0.885356249875957,FALSE
"Oral","Muribaculaceae","EG_DB_down",-0.181818181818182,0.5926152128455,0.885356249875957,FALSE
"Oral","Alistipes","EG_DB_up",-0.154545454545455,0.65003396549758,0.885356249875957,FALSE
"Oral","Bacillus","EG_DB_up",0.154545454545455,0.65003396549758,0.885356249875957,FALSE
"Oral","Delftia","EG_DB_down",0.154545454545455,0.65003396549758,0.885356249875957,FALSE
"Oral","Ralstonia","EG_DB_up",0.145454545454545,0.669578645642079,0.885356249875957,TRUE
"Oral","Others","EG_DB_up",0.145454545454545,0.669578645642079,0.885356249875957,TRUE
"Oral","Pseudomonas","EG_DB_down",-0.145454545454545,0.669578645642079,0.885356249875957,TRUE
"Oral","Bacillus","EG_DB_down",-0.145454545454545,0.669578645642079,0.885356249875957,FALSE
"Oral","Geobacillus","EG_DB_down",-0.145454545454545,0.669578645642079,0.885356249875957,TRUE
"Oral","Prevotellaceae_UCG-001","EG_DB_down",0.136363636363636,0.689309020586362,0.885356249875957,TRUE
"Oral","Romboutsia","EG_DB_down",-0.118181818181818,0.72928477951978,0.885356249875957,TRUE
"Oral","Staphylococcus","EG_DB_up",0.109090909090909,0.749508596234148,0.885356249875957,TRUE
"Oral","Faecalibacterium","EG_DB_down",-0.109090909090909,0.749508596234148,0.885356249875957,FALSE
"Oral","Ralstonia","EG_DB_down",-0.1,0.769874999892137,0.885356249875957,TRUE
"Oral","Alistipes","EG_DB_down",0.1,0.769874999892137,0.885356249875957,FALSE
"Oral","Romboutsia","EG_DB_up",-0.0454545454545455,0.894426996905303,0.979610520420094,TRUE
"Oral","Enterococcus","EG_DB_up",-0.0454545454545455,0.894426996905303,0.979610520420094,TRUE
"Oral","Prevotellaceae_UCG-001","EG_DB_up",-0.0272727272727273,0.936558448192612,1,TRUE
"Oral","Others","EG_DB_down",0.0181818181818182,0.957685241021619,1,TRUE
"Oral","Faecalibacterium","EG_DB_up",-0.00909090909090909,0.978836500144194,1,FALSE
"Oral","Delftia","EG_DB_up",0,1,1,FALSE
