"cluster","CA","LN","LP","NL"
"B_Plasma.cells",3689,2000,931,817
"Dendritic.cells",960,467,95,71
"Endothelial.cells",392,37,1563,1445
"Epithelial.cells",0,0,183,810
"Fibroblasts",1828,153,1887,8468
"Macrophages",3169,600,474,652
"Malignant.cells",4829,284,0,0
"Mast.cells",210,24,15,21
"Myocytes",15,4,3,274
"T.cells",7996,4635,1376,3862
