"Genus","mean_wt","mean_db","mean_trt","delta_disease","delta_treat","rescue_score","is_rescue_dir"
"Lactococcus",0.118184699375653,-0.358490826033788,2.79404504924133,-0.476675525409441,3.15253587527512,6.61358871439277,TRUE
"Romboutsia",1.27950709375931,0.940626667139166,2.39377961619028,-0.338880426620141,1.45315294905111,4.28809938521466,TRUE
"Colidextribacter",-1.60541329359956,-2.63769795107762,1.39877874210085,-1.03228465747807,4.03647669317847,3.91023606128161,TRUE
"Comamonas",-2.17915212985042,-1.09759552956519,-4.6216948864543,1.08155660028523,-3.52409935688911,3.25835869889725,TRUE
"Proteus",-1.71015572843288,-3.76092255116785,1.32818246548875,-2.05076682273497,5.0891050166566,2.48156199926699,TRUE
"Stenotrophomonas",-1.58211248995134,0.707582222936314,-4.12225065115093,2.28969471288766,-4.82983287408724,2.10937853282461,TRUE
"Streptococcus",3.84285348997047,3.131483758219,4.50262672268767,-0.711369731751471,1.37114296446868,1.92746880176188,TRUE
"Rodentibacter",1.58810818947682,-0.484833707529883,3.15310930727857,-2.0729418970067,3.63794301480846,1.75496622460166,TRUE
"Sphingomonas",0.89498655200431,1.69871943641701,0.423648319172931,0.803732884412702,-1.27507111724408,1.5864364168399,TRUE
"Agathobacter",-0.985425316119569,0.41465958311112,-1.65697234588614,1.40008489923069,-2.07163192899726,1.47964736291033,TRUE
"Lactobacillus",3.9600747188511,2.23816626357696,4.76749060733123,-1.72190845527414,2.52932434375428,1.46890755777815,TRUE
"Delftia",1.03949283102913,-0.0962329587827805,1.55765666294639,-1.13572578981191,1.65388962172917,1.45624026201173,TRUE
"Dorea",-0.888799118536085,0.678155475029636,-1.38005623185498,1.56695459356572,-2.05821170688462,1.31351075221714,TRUE
"Cutibacterium",-0.0076273737989044,-0.934400711911542,0.251851023041715,-0.926773338112637,1.18625173495326,1.27998042905404,TRUE
"67-14",-2.14130876108364,1.19915565841191,-3.05579803558829,3.34046441949555,-4.2549536940002,1.27376111811505,TRUE
"Mucispirillum",0.735087880186076,-1.15072569408965,1.23633448581179,-1.88581357427572,2.38706017990144,1.26579859879216,TRUE
"Lachnospiraceae_NK4A136_group",1.91035213278566,0.379266442702848,2.31461529794388,-1.53108569008281,1.93534885524103,1.26403692998813,TRUE
"Erysipelatoclostridium",0.55910062443293,-0.224399444500141,0.695807847531563,-0.783500068933071,0.920207292031704,1.17448271993746,TRUE
"Eubacterium_hallii_group",-0.999771941247127,0.42545114053213,-1.2303112751558,1.42522308177926,-1.65576241568793,1.16175666592549,TRUE
