"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map05020","map05020","Prion disease",209,54,1,0,1,-2.409080161497,1.1648126951466,1.13883229463726,-3.13820820982422,0.0016,0.0176294117647059
"map00785","map00785","Lipoic acid metabolism",31,16,2,2,0,4.26436067341315,0.635139117985124,1.16349331437683,3.11924573229872,8e-04,0.0121090909090909
"map04623","map04623","Cytosolic DNA-sensing pathway",68,7,1,0,1,-3.23824583543473,0.4318954259571,1.17721032396341,-3.11765976451451,0.0018,0.0176294117647059
"map04210","map04210","Apoptosis",110,8,2,0,2,-3.09108538523282,0.466423728276455,1.15666303955279,-3.07566593887597,0.0014,0.0160758620689655
"map01232","map01232","Nucleotide metabolism",123,58,12,1,11,-2.29625743229289,1.22701850295909,1.14696713523317,-3.07181943320087,0.001,0.0144782608695652
"map00860","map00860","Porphyrin metabolism",142,58,5,5,0,4.61902965616039,1.20551884711756,1.12329315187218,3.03884235682695,0.0018,0.0176294117647059
"map00310","map00310","Lysine degradation",98,23,3,3,0,4.23775795471447,0.753689636582397,1.15499432442664,3.01652418929559,0.0012,0.015984
"map00020","map00020","Citrate cycle (TCA cycle)",70,46,5,5,0,4.49047529917194,1.08499565070746,1.12954484537429,3.01491318597098,8e-04,0.0121090909090909
"map05152","map05152","Tuberculosis",131,20,0,0,0,-2.66368626401557,0.710771793355488,1.13720580477308,-2.96732398235024,0.0014,0.0160758620689655
"map05163","map05163","Human cytomegalovirus infection",192,17,2,1,1,-2.73754265505585,0.630689768677062,1.15475414595334,-2.91683942901298,0.0014,0.0160758620689655
"map05140","map05140","Leishmaniasis",59,7,1,0,1,-2.98347289944806,0.382169461585465,1.1544766317925,-2.91529708644501,0.0018,0.0176294117647059
"map00523","map00523","Polyketide sugar unit biosynthesis",59,5,3,3,0,3.65145131730531,0.372277523805243,1.12786458111507,2.90741800780559,0.0012,0.015984
"map05167","map05167","Kaposi sarcoma-associated herpesvirus infection",169,17,0,0,0,-2.6019758665334,0.645914052242295,1.13800979039245,-2.85400876705606,0.0022,0.02035
"map04142","map04142","Lysosome",108,18,1,0,1,-2.54527575334768,0.68504170056495,1.13579592878872,-2.84410022261448,0.003,0.0256153846153846
"map04640","map04640","Hematopoietic cell lineage",80,6,0,0,0,-2.91125434966705,0.373710663528794,1.15611647954935,-2.84137893655517,0.0022,0.02035
"map04061","map04061","Viral protein interaction with cytokine and cytokine receptor",120,13,5,2,3,-2.71539066569402,0.548926855536333,1.15145405747667,-2.8349524673037,0.003,0.0256153846153846
"map04510","map04510","Focal adhesion",152,6,2,0,2,-2.90229746841485,0.382635314765196,1.16051265843083,-2.83058763669302,0.004,0.0296
"map00910","map00910","Nitrogen metabolism",69,35,6,6,0,4.25274300801831,0.969380895160904,1.16691356944925,2.81371491327078,0.0018,0.0176294117647059
"map05014","map05014","Amyotrophic lateral sclerosis",280,51,2,1,1,-2.0536950015817,1.13081328400315,1.15106488832121,-2.76657581852693,0.0044,0.030525
"map02010","map02010","ABC transporters",515,250,33,13,20,-0.5510291417184,2.48977518702345,1.09996315871813,-2.7644601590889,0.0014,0.0160758620689655
"map04622","map04622","RIG-I-like receptor signaling pathway",55,6,1,0,1,-2.75089448446775,0.396256096258853,1.13945163041234,-2.76198699157394,0.0036,0.0278790697674419
"map04933","map04933","AGE-RAGE signaling pathway in diabetic complications",76,7,0,0,0,-2.76717987216594,0.42901340362025,1.16273971909211,-2.74884673096215,0.0032,0.02664
"map02020","map02020","Two-component system",520,209,19,13,6,5.45947634707145,2.31251706728197,1.14537800185368,2.74752900326044,0.0036,0.0278790697674419
"map05133","map05133","Pertussis",79,16,1,0,1,-2.50594665399304,0.632985814915278,1.15203581922429,-2.72468304937072,0.0042,0.030404347826087
"map05415","map05415","Diabetic cardiomyopathy",160,48,3,1,2,-2.12371225520862,1.0847972009014,1.19271692737799,-2.69008461476558,0.003,0.0256153846153846
"map05418","map05418","Fluid shear stress and atherosclerosis",99,15,1,0,1,-2.49740405537105,0.598014251387907,1.1680764711372,-2.65001340515434,0.0044,0.030525
"map04145","map04145","Phagosome",95,16,1,0,1,-2.40434292053382,0.627944270253736,1.14561238849859,-2.64687011176756,0.0048,0.0326204081632653
"map00260","map00260","Glycine, serine and threonine metabolism",109,49,5,4,1,4.16959262315931,1.10984084980024,1.15753964474196,2.64332352438878,0.0034,0.0276146341463415
"map05010","map05010","Alzheimer disease",300,50,0,0,0,-1.86090753174393,1.11584858848983,1.15278243380157,-2.58223584342555,0.0058,0.0364415094339623
"map04613","map04613","Neutrophil extracellular trap formation",90,14,1,0,1,-2.42381978592555,0.599841822144543,1.17298874446971,-2.57774136565738,0.0062,0.0382333333333333
"map03440","map03440","Homologous recombination",72,26,6,1,5,-2.10752679897491,0.848633322291619,1.14988239083895,-2.57083693499273,0.0038,0.0287590909090909
"map00061","map00061","Fatty acid biosynthesis",39,20,4,0,4,-2.17209130391488,0.733938847539923,1.14229584659556,-2.54402584069248,0.005,0.0326470588235294
"map05100","map05100","Bacterial invasion of epithelial cells",76,8,2,0,2,-2.46099964082841,0.446680267676572,1.15320767934636,-2.52138444842221,0.0066,0.0392464285714286
"map04140","map04140","Autophagy - animal",132,13,1,0,1,-2.29877684216086,0.601258588012345,1.16006342008576,-2.49989386783597,0.0072,0.0420631578947368
"map03070","map03070","Bacterial secretion system",74,50,3,1,2,3.91144500280568,1.10200067769451,1.13538295601707,2.47444645017988,0.008,0.0459310344827586
"map03020","map03020","RNA polymerase",66,10,1,0,1,-2.35265758524722,0.49535762391349,1.15667391481344,-2.46224555830852,0.0108,0.0544909090909091
"map01200","map01200","Carbon metabolism",369,161,18,10,8,4.81761397017697,2.01107487159217,1.14703458915288,2.44677808771008,0.0064,0.0387490909090909
"map00521","map00521","Streptomycin biosynthesis",21,11,3,3,0,3.32366479076278,0.51251209691073,1.15230455292259,2.43959176132917,0.005,0.0326470588235294
"map04512","map04512","ECM-receptor interaction",66,3,1,0,1,-2.58772703621942,0.271218882368301,1.17229198961703,-2.43876606162062,0.0094,0.0507428571428571
"map04621","map04621","NOD-like receptor signaling pathway",145,15,2,0,2,-2.21477494886148,0.609298845550819,1.15961767899907,-2.43534903404534,0.0088,0.0496677966101695
"map05012","map05012","Parkinson disease",209,53,0,0,0,-1.61455987662989,1.14077500428649,1.14836279919727,-2.39935922936759,0.009,0.04995
"map04213","map04213","Longevity regulating pathway - multiple species",58,7,3,3,0,3.25209592528962,0.438092733997072,1.17343674035452,2.39808682864521,0.0056,0.0358615384615385
"map02026","map02026","Biofilm formation - Escherichia coli",61,26,2,0,2,-1.98870820646411,0.80458099605392,1.16843562489027,-2.39062310581325,0.0096,0.0507428571428571
"map05168","map05168","Herpes simplex virus 1 infection",149,10,2,1,1,-2.21856049811358,0.488825988973298,1.1361356660307,-2.38297816716347,0.0096,0.0507428571428571
"map04611","map04611","Platelet activation",91,4,1,0,1,-2.51331340363055,0.287101464216564,1.17846429180641,-2.37632560215676,0.0118,0.0570857142857143
"map04670","map04670","Leukocyte transendothelial migration",75,6,1,0,1,-2.30038823430764,0.38291545570413,1.14353085957692,-2.34650745761642,0.012,0.0570857142857143
"map02024","map02024","Quorum sensing",283,95,19,6,13,-1.04767332323799,1.56153689153501,1.12784963475836,-2.31343801014043,0.0106,0.0544909090909091
"map00970","map00970","Aminoacyl-tRNA biosynthesis",66,32,5,2,3,-1.73068707864248,0.898079771946204,1.13755323756287,-2.31089566956941,0.0122,0.0572197183098592
"map05132","map05132","Salmonella infection",217,21,1,0,1,-1.95136956327401,0.711507077694771,1.15484333014036,-2.30583367585032,0.012,0.0570857142857143
"map05165","map05165","Human papillomavirus infection",231,9,2,0,2,-2.21127655818583,0.462263986563723,1.16337343901922,-2.29809316173101,0.0124,0.05735
"map04932","map04932","Non-alcoholic fatty liver disease",127,28,0,0,0,-1.78219482764292,0.842232610547477,1.14501696197507,-2.29204241102547,0.012,0.0570857142857143
"map05134","map05134","Legionellosis",69,13,1,0,1,-2.04856195303769,0.613220064110127,1.1666292296189,-2.28160065732053,0.0108,0.0544909090909091
"map04520","map04520","Adherens junction",83,5,1,0,1,-2.25247390352083,0.358221617188664,1.15557143992927,-2.25922468356373,0.0144,0.0656876712328767
"map00240","map00240","Pyrimidine metabolism",114,56,11,1,10,-1.30191175409592,1.18457982224756,1.12118004706436,-2.21774511850615,0.0148,0.065712
"map01053","map01053","Biosynthesis of siderophore group nonribosomal peptides",36,12,3,3,0,3.0767731347312,0.54840676041461,1.14647252747571,2.20534405641932,0.0146,0.0657
"map00983","map00983","Drug metabolism - other enzymes",32,18,3,0,3,-1.86768822998312,0.649125571207606,1.14937784485024,-2.18971838761922,0.0166,0.0717896103896104
"map00380","map00380","Tryptophan metabolism",80,20,1,1,0,3.22307406459553,0.731966886766654,1.16360063188387,2.14086097031056,0.017,0.0725769230769231
"map04310","map04310","Wnt signaling pathway",126,4,0,0,0,-2.18741316352143,0.302651402955108,1.16585929431574,-2.13581911523722,0.0184,0.0755341463414634
"map04380","map04380","Osteoclast differentiation",104,7,0,0,0,-2.02387193207623,0.441021531077556,1.15409555053043,-2.13577936594669,0.0192,0.0761142857142857
"map04810","map04810","Regulation of actin cytoskeleton",172,8,1,0,1,-2.00460194115188,0.44967069365583,1.15120874555338,-2.1319093034061,0.0176,0.0741873417721519
"map05016","map05016","Huntington disease",229,49,2,2,0,-1.2637152761291,1.1254172902773,1.12817605182416,-2.11769480706791,0.0186,0.0755341463414634
"map01210","map01210","2-Oxocarboxylic acid metabolism",111,50,7,6,1,3.58444790382813,1.1394701354721,1.15581344641476,2.11537404755081,0.0154,0.0674763157894737
"map00550","map00550","Peptidoglycan biosynthesis",53,36,7,2,5,-1.49830186717728,0.948743736934065,1.16356342006334,-2.10306164830975,0.0208,0.0805395348837209
"map01110","map01110","Biosynthesis of secondary metabolites",2198,485,70,40,30,5.7450803638184,3.49700943522508,1.07489406994087,2.09143485991786,0.019,0.0761142857142857
"map00410","map00410","beta-Alanine metabolism",46,15,1,1,0,3.01488194859059,0.567927963829293,1.17955284462579,2.07447593035782,0.0198,0.0775694117647059
"map04919","map04919","Thyroid hormone signaling pathway",91,4,2,0,2,-2.06047258529037,0.300104269420673,1.14774657757881,-2.05670563591723,0.0186,0.0755341463414634
"map01240","map01240","Biosynthesis of cofactors",375,209,27,15,12,4.56087192947549,2.26569298786152,1.12773904942846,2.03520392663284,0.024,0.0905460674157303
"map03018","map03018","RNA degradation",79,22,4,2,2,-1.5735304160143,0.736994057712282,1.15353940610542,-2.00298703407748,0.024,0.0905460674157303
"map04361","map04361","Axon regeneration",59,4,0,0,0,-1.97620163964994,0.320407251737099,1.15146073176414,-1.99451777037019,0.0264,0.0935234042553191
"map00552","map00552","Teichoic acid biosynthesis",41,16,4,2,2,-1.68841392484045,0.627289269178751,1.16472244597411,-1.98820174027167,0.0242,0.0905460674157303
"map00650","map00650","Butanoate metabolism",114,58,4,4,0,3.4372487210837,1.20617262268973,1.13443349228663,1.9666874378831,0.0258,0.0933847826086956
"map03430","map03430","Mismatch repair",44,22,5,1,4,-1.50902524123857,0.755435278899937,1.15396002519263,-1.96233879051442,0.0258,0.0933847826086956
"map04016","map04016","MAPK signaling pathway - plant",54,5,1,0,1,-1.88834619558018,0.353097891296213,1.14404311938956,-1.95923042487452,0.0264,0.0935234042553191
