"module","species","r","p_value","significance"
"MEbrown","Streptococcus_pneumoniae",-0.16,0.25,""
"MEbrown","Parvimonas_micra",-0.085,0.53,""
"MEpink","Prevotella_sp_oral_taxon_299",-0.18,0.18,""
"MEpink","Streptococcus_sp_116_D4",0.015,0.91,""
"MEpink","Lancefieldella_parvula",0.031,0.82,""
"MEpink","Prevotella_jejuni",0.002,0.99,""
"MEpink","Schaalia_odontolytica",-0.025,0.86,""
"MEpink","Campylobacter_concisus",-0.074,0.59,""
"MEpink","Erwinia_sp_Ejp617",-0.094,0.49,""
"MEpink","Collinsella_aerofaciens",0.15,0.25,""
"MEpink","Prevotella_denticola",0.25,0.065,""
"MEpink","Kingella_oralis",-0.05,0.71,""
"MEpink","Schaalia_meyeri",0.083,0.54,""
"MEpink","Pantoea_sp_CCBC3_3_1",-0.16,0.22,""
"MEpink","Streptococcus_mitis",0.013,0.93,""
"MEpink","Schaalia_cardiffensis",-0.069,0.62,""
"MEpink","Nanosynbacter_sp_HMT_352",-0.073,0.59,""
"MEpink","Candidatus_Methylopumilus_turicensis",0.11,0.42,""
"MEpink","Streptococcus_sp_1643",-0.17,0.21,""
"MEpink","Porphyromonas_endodontalis",0.21,0.12,""
"MEpink","Streptococcus_oralis",-0.14,0.3,""
"MEpink","Prevotella_scopos",-0.091,0.51,""
"MEpink","Desulfobulbus_oralis",0.16,0.23,""
"MEpink","Tannerella_forsythia",0.049,0.72,""
"MEpink","Blattabacterium_punctulatus",-0.061,0.65,""
"MEpink","Streptococcus_pseudopneumoniae",-0.036,0.79,""
"MEpink","Microbacterium_paludicola",0.32,0.016,"*"
"MEpink","Prevotella_histicola",-0.1,0.45,""
"MEpink","Shewanella_loihica",-0.099,0.47,""
"MEpink","Olsenella_uli",0.074,0.59,""
"MEpink","Mogibacterium_diversum",-0.032,0.81,""
"MEpink","Porphyromonas_gingivalis",0.17,0.22,""
"MEpink","Prevotella_multiformis",0.3,0.025,"*"
"MEpink","Lachnoanaerobaculum_umeaense",-0.094,0.49,""
"MEpink","Veillonella_atypica",-0.018,0.9,""
"MEpink","Planktothrix_rubescens",-0.13,0.35,""
"MEpink","Rothia_mucilaginosa",-0.12,0.38,""
"MEpink","Prevotella_veroralis",-0.023,0.87,""
"MEpink","Candidatus_Nanosynbacter_sp_HMT352",-0.1,0.45,""
"MEpink","Fusobacterium_periodonticum",-0.12,0.39,""
"MEpink","Fusobacterium_pseudoperiodonticum",-0.09,0.51,""
"MEpink","Streptococcus_sp_FDAARGOS_192",-0.11,0.42,""
"MEpink","Neisseria_mucosa",-0.17,0.22,""
"MEpink","Leptotrichia_sp_oral_taxon_221",-0.091,0.5,""
"MEpink","Filifactor_alocis",0.0019,0.99,""
"MEpink","Prevotella_intermedia",0.23,0.09,""
"MEpink","Streptococcus_pneumoniae",-0.022,0.87,""
"MEpink","Parvimonas_micra",0.037,0.79,""
"MEyellow","Prevotella_sp_oral_taxon_299",0.17,0.2,""
"MEyellow","Streptococcus_sp_116_D4",-0.19,0.15,""
"MEyellow","Lancefieldella_parvula",0.07,0.61,""
"MEyellow","Prevotella_jejuni",0.16,0.24,""
"MEyellow","Schaalia_odontolytica",0.21,0.12,""
"MEyellow","Campylobacter_concisus",0.34,0.01,"*"
"MEyellow","Erwinia_sp_Ejp617",-0.077,0.57,""
"MEyellow","Collinsella_aerofaciens",0.31,0.02,"*"
"MEyellow","Prevotella_denticola",-0.016,0.91,""
"MEyellow","Kingella_oralis",-0.14,0.29,""
"MEyellow","Schaalia_meyeri",0.41,0.0017,"**"
"MEyellow","Pantoea_sp_CCBC3_3_1",-0.17,0.2,""
"MEyellow","Streptococcus_mitis",-0.21,0.11,""
"MEyellow","Schaalia_cardiffensis",-0.0029,0.98,""
"MEyellow","Nanosynbacter_sp_HMT_352",0.17,0.22,""
"MEyellow","Candidatus_Methylopumilus_turicensis",0.24,0.078,""
"MEyellow","Streptococcus_sp_1643",-0.28,0.035,"*"
"MEyellow","Porphyromonas_endodontalis",-0.021,0.88,""
"MEyellow","Streptococcus_oralis",-0.28,0.035,"*"
"MEyellow","Prevotella_scopos",0.19,0.15,""
"MEyellow","Desulfobulbus_oralis",-0.065,0.64,""
"MEyellow","Tannerella_forsythia",-0.11,0.41,""
"MEyellow","Blattabacterium_punctulatus",-0.14,0.29,""
"MEyellow","Streptococcus_pseudopneumoniae",-0.2,0.14,""
"MEyellow","Microbacterium_paludicola",-0.032,0.82,""
"MEyellow","Prevotella_histicola",-0.041,0.77,""
"MEyellow","Shewanella_loihica",0.45,5e-04,"***"
"MEyellow","Olsenella_uli",0.22,0.11,""
"MEyellow","Mogibacterium_diversum",0.049,0.72,""
"MEyellow","Porphyromonas_gingivalis",-0.066,0.63,""
"MEyellow","Prevotella_multiformis",-0.0075,0.96,""
"MEyellow","Lachnoanaerobaculum_umeaense",0.15,0.26,""
"MEyellow","Veillonella_atypica",0.11,0.41,""
"MEyellow","Planktothrix_rubescens",-0.15,0.27,""
"MEyellow","Rothia_mucilaginosa",0.13,0.34,""
"MEyellow","Prevotella_veroralis",-0.086,0.53,""
"MEyellow","Candidatus_Nanosynbacter_sp_HMT352",0.44,0.00063,"***"
"MEyellow","Fusobacterium_periodonticum",0.017,0.9,""
"MEyellow","Fusobacterium_pseudoperiodonticum",0.15,0.27,""
"MEyellow","Streptococcus_sp_FDAARGOS_192",0.037,0.79,""
"MEyellow","Neisseria_mucosa",0.26,0.05,""
"MEyellow","Leptotrichia_sp_oral_taxon_221",0.047,0.73,""
"MEyellow","Filifactor_alocis",-0.035,0.8,""
"MEyellow","Prevotella_intermedia",-0.045,0.74,""
"MEyellow","Streptococcus_pneumoniae",-0.21,0.13,""
