"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map04918","map04918","Thyroid hormone synthesis",53,1,1,0,1,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04919","map04919","Thyroid hormone signaling pathway",91,1,1,0,1,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04920","map04920","Adipocytokine signaling pathway",54,2,2,1,1,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04921","map04921","Oxytocin signaling pathway",112,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04923","map04923","Regulation of lipolysis in adipocytes",47,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04924","map04924","Renin secretion",50,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04925","map04925","Aldosterone synthesis and secretion",65,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04926","map04926","Relaxin signaling pathway",96,1,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04927","map04927","Cortisol synthesis and secretion",54,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04928","map04928","Parathyroid hormone synthesis, secretion and action",89,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04929","map04929","GnRH secretion",51,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04930","map04930","Type II diabetes mellitus",37,2,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map04933","map04933","AGE-RAGE signaling pathway in diabetic complications",76,1,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map04934","map04934","Cushing syndrome",122,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map04935","map04935","Growth hormone synthesis, secretion and action",92,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04936","map04936","Alcoholic liver disease",105,1,1,1,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
