"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map00260","map00260","Glycine, serine and threonine metabolism",109,23,15,6,9,-6.13293029637583,-8.08942872087381,1.56371248182089,1.25118808428242,0.113,0.335525925925926,"Metabolism"
"map00670","map00670","One carbon pool by folate",43,12,8,1,7,-7.75615215934026,-5.86707315668784,1.51619195052727,-1.2459365728696,0.101,0.335525925925926,"Metabolism"
"map05014","map05014","Amyotrophic lateral sclerosis",280,5,1,0,1,-1.8019280962435,-3.73714609930697,1.55491586473619,1.24458052487091,0.1102,0.335525925925926,"Human Diseases"
"map00333","map00333","Prodigiosin biosynthesis",21,3,2,1,1,-1.00327355738266,-2.92108467008679,1.54100693349442,1.24451815953564,0.1164,0.335525925925926,"Metabolism"
"map00540","map00540","Lipopolysaccharide biosynthesis",62,9,3,1,2,-3.14910254690119,-5.04925391563132,1.55604491062878,1.2211417265343,0.1182,0.335525925925926,"Metabolism"
"map04213","map04213","Longevity regulating pathway - multiple species",58,4,2,1,1,-1.4848114427186,-3.36167077223714,1.54604375334403,1.21397555887987,0.1192,0.335525925925926,"Organismal Systems"
"map04626","map04626","Plant-pathogen interaction",87,5,5,1,4,-5.65249749691455,-3.82801859143202,1.52200245502247,-1.19873584925039,0.1004,0.335525925925926,"Organismal Systems"
"map00230","map00230","Purine metabolism",223,48,27,1,26,-13.402181684696,-11.6939174948798,1.51506423224151,-1.12751931796904,0.1312,0.350933333333333,"Metabolism"
"map01523","map01523","Antifolate resistance",26,3,2,1,1,-1.18971957989728,-2.92764014592952,1.54477017262576,1.12503503552129,0.1428,0.36328,"Human Diseases"
"map00270","map00270","Cysteine and methionine metabolism",127,29,12,2,10,-7.38855049941668,-9.07374445367897,1.50121345224726,1.1225545253006,0.1316,0.350933333333333,"Metabolism"
"map00500","map00500","Starch and sucrose metabolism",106,28,20,2,18,-10.6400185355096,-8.94810024656116,1.51105248935001,-1.11969524611038,0.1296,0.350933333333333,"Metabolism"
"map00627","map00627","Aminobenzoate degradation",89,3,2,0,2,-4.63335765319876,-2.93807292586432,1.52322263085807,-1.11295925690091,0.1114,0.335525925925926,"Metabolism"
"map00790","map00790","Folate biosynthesis",84,13,1,0,1,-4.38456602788337,-6.07957325770795,1.55907968905288,1.08718447281824,0.1434,0.36328,"Metabolism"
"map00340","map00340","Histidine metabolism",47,13,7,2,5,-4.40928362732179,-6.06039621673357,1.5404929847373,1.07180792497627,0.1396,0.36328,"Metabolism"
"map00020","map00020","Citrate cycle (TCA cycle)",70,33,16,2,14,-8.20110133333031,-9.73389486773569,1.52083844492229,1.00786085433532,0.1544,0.375415873015873,"Metabolism"
"map00620","map00620","Pyruvate metabolism",133,47,28,3,25,-13.1387025841719,-11.5989748611534,1.53534704639725,-1.00285321591069,0.1556,0.375415873015873,"Metabolism"
"map02060","map02060","Phosphotransferase system (PTS)",72,14,8,2,6,-4.71673517391471,-6.27344644490608,1.55325023008806,1.00222825713222,0.1532,0.375415873015873,"Environmental Information Processing"
"map04146","map04146","Peroxisome",74,5,4,1,3,-2.24111960379938,-3.7897397140138,1.55316306676836,0.997075029241202,0.1584,0.3762,"Cellular Processes"
"map03420","map03420","Nucleotide excision repair",61,6,4,0,4,-5.65221831525117,-4.16317913351147,1.52487348420344,-0.976500147169615,0.162,0.378830769230769,"Genetic Information Processing"
"map04922","map04922","Glucagon signaling pathway",57,8,6,2,4,-3.29532341093685,-4.76217940780893,1.51763242571217,0.966542340569551,0.171,0.393818181818182,"Organismal Systems"
"map00300","map00300","Lysine biosynthesis",48,12,8,0,8,-7.27437426175566,-5.83501132297946,1.54126243037377,-0.933885696822665,0.1832,0.401622535211268,"Metabolism"
"map00900","map00900","Terpenoid backbone biosynthesis",63,15,8,0,8,-7.92553281523239,-6.50461907927452,1.54456589781937,-0.919943744688341,0.1872,0.401622535211268,"Metabolism"
"map01250","map01250","Biosynthesis of nucleotide sugars",211,36,15,3,12,-8.75705964575012,-10.1521950888019,1.53733213612997,0.90750424730196,0.1802,0.401622535211268,NA
"map00541","map00541","O-Antigen nucleotide sugar biosynthesis",99,21,6,1,5,-6.39845324114258,-7.75044658935885,1.52636848488878,0.885758164952408,0.182,0.401622535211268,"Metabolism"
"map01503","map01503","Cationic antimicrobial peptide (CAMP) resistance",54,10,5,0,5,-6.70772904544812,-5.32620333123468,1.57621466237402,-0.876483227311595,0.1876,0.401622535211268,"Human Diseases"
"map04980","map04980","Cobalamin transport and metabolism",17,4,3,0,3,-4.73538933909376,-3.39381614851152,1.55429194735283,-0.86314105459217,0.193,0.407444444444444,"Organismal Systems"
"map00520","map00520","Amino sugar and nucleotide sugar metabolism",157,39,16,2,14,-9.24727934786983,-10.5161859953951,1.52629285612807,0.831365122643808,0.2024,0.410197333333333,"Metabolism"
"map04066","map04066","HIF-1 signaling pathway",76,9,4,0,4,-6.27119637556592,-5.03924979446076,1.50394966796269,-0.819140831204809,0.2112,0.412738461538461,"Environmental Information Processing"
"map00561","map00561","Glycerolipid metabolism",94,10,7,2,5,-4.11246263131201,-5.34901553104896,1.51041466628093,0.818684383396315,0.209,0.412738461538461,"Metabolism"
"map00543","map00543","Exopolysaccharide biosynthesis",73,3,2,0,2,-1.66554667607801,-2.92375479853126,1.54905409444386,0.812242856441348,0.2006,0.410197333333333,"Metabolism"
"map00460","map00460","Cyanoamino acid metabolism",36,4,3,1,2,-2.15178152311033,-3.39072046622809,1.52610888208639,0.811828669409207,0.2006,0.410197333333333,"Metabolism"
"map00630","map00630","Glyoxylate and dicarboxylate metabolism",110,30,15,3,12,-8.0502850688301,-9.25023981634962,1.53467949746644,0.781892733629725,0.2118,0.412738461538461,"Metabolism"
"map04217","map04217","Necroptosis",96,4,2,0,2,-4.53233748950273,-3.36793354476605,1.52517460649336,-0.763456157596179,0.2292,0.423768674698795,"Cellular Processes"
"map00250","map00250","Alanine, aspartate and glutamate metabolism",70,27,15,1,14,-9.95548327841039,-8.7838327256493,1.54255430942608,-0.759552221663436,0.2274,0.423768674698795,"Metabolism"
"map00564","map00564","Glycerophospholipid metabolism",117,12,8,1,7,-6.99280919078337,-5.83174804607273,1.53100210161264,-0.758366787013335,0.2292,0.423768674698795,"Metabolism"
"map00470","map00470","D-Amino acid metabolism",55,14,7,0,7,-7.45297521245864,-6.29748448274282,1.53864987368845,-0.75097704128482,0.2314,0.423768674698795,"Metabolism"
"map00450","map00450","Selenocompound metabolism",36,12,6,0,6,-6.96431250135807,-5.85193244614117,1.52938398459324,-0.727338632039327,0.2374,0.425957647058824,"Metabolism"
"map01240","map01240","Biosynthesis of cofactors",375,96,42,4,38,-15.4793707498714,-16.5565826584946,1.48760370680939,0.724125587811014,0.2262,0.423768674698795,NA
"map00791","map00791","Atrazine degradation",16,3,2,0,2,-4.03285534636458,-2.92990082738449,1.54234855490755,-0.715113659276715,0.2382,0.425957647058824,"Metabolism"
"map03410","map03410","Base excision repair",52,5,3,0,3,-4.87967202252202,-3.79453017966735,1.53844496596708,-0.705349795969163,0.2514,0.426268131868132,"Genetic Information Processing"
"map00290","map00290","Valine, leucine and isoleucine biosynthesis",19,8,3,0,3,-5.83102946366933,-4.75828939710556,1.54148381871558,-0.695913932757088,0.2552,0.426268131868132,"Metabolism"
"map00480","map00480","Glutathione metabolism",57,10,4,0,4,-4.30629246055719,-5.33530131210384,1.54940515222831,0.664131554013978,0.246,0.426268131868132,"Metabolism"
"map00550","map00550","Peptidoglycan biosynthesis",53,21,9,0,9,-6.72298314228105,-7.74214211550478,1.55167952561766,0.656810221697068,0.2526,0.426268131868132,"Metabolism"
"map00030","map00030","Pentose phosphate pathway",89,19,10,2,8,-6.38645302195916,-7.39263348761571,1.54269262580681,0.652223553042733,0.2436,0.426268131868132,"Metabolism"
"map00920","map00920","Sulfur metabolism",115,12,2,0,2,-4.82877071453685,-5.82157744795075,1.53554194088511,0.646551362082394,0.2508,0.426268131868132,"Metabolism"
"map00521","map00521","Streptomycin biosynthesis",21,9,3,0,3,-6.05244410427157,-5.04943332611784,1.55492978929972,-0.645052133579255,0.2714,0.441433333333333,"Metabolism"
"map03020","map03020","RNA polymerase",66,6,3,0,3,-5.11760546937983,-4.14546033576509,1.54023901539533,-0.631165113919172,0.2742,0.441433333333333,"Genetic Information Processing"
"map00360","map00360","Phenylalanine metabolism",74,6,2,0,2,-4.99325044073778,-4.10364684346904,1.53144900220344,-0.580890121700937,0.3038,0.454894545454545,"Metabolism"
"map00061","map00061","Fatty acid biosynthesis",39,16,9,1,8,-5.9036849158756,-6.7598289030136,1.52580813116589,0.561108549397894,0.2764,0.441433333333333,"Metabolism"
"map04714","map04714","Thermogenesis",188,4,1,0,1,-2.5161961178076,-3.38180794458626,1.55872291939294,0.555333995547953,0.2676,0.441433333333333,"Organismal Systems"
"map00740","map00740","Riboflavin metabolism",54,7,1,0,1,-3.58204087981751,-4.440049471821,1.55761472584084,0.550847765990602,0.2788,0.441433333333333,"Metabolism"
"map01232","map01232","Nucleotide metabolism",123,37,17,0,17,-11.0941004659116,-10.2734680762922,1.52550011734312,-0.537943183543428,0.3006,0.454894545454545,NA
"map00760","map00760","Nicotinate and nicotinamide metabolism",97,16,8,0,8,-7.57992116038275,-6.77055323302095,1.51911434117382,-0.532789340094309,0.3074,0.454894545454545,"Metabolism"
"map00983","map00983","Drug metabolism - other enzymes",32,10,3,0,3,-6.15308144933972,-5.3721739559922,1.51721610230076,-0.51469760448978,0.3166,0.454894545454545,"Metabolism"
"map00410","map00410","beta-Alanine metabolism",46,4,3,1,2,-2.60531382006166,-3.38228881446171,1.51823540270806,0.511761873695057,0.2874,0.450358762886598,"Metabolism"
"map00730","map00730","Thiamine metabolism",36,7,3,0,3,-5.21706334910651,-4.43493888437716,1.53911202849356,-0.508166040060689,0.3224,0.454894545454545,"Metabolism"
"map00071","map00071","Fatty acid degradation",59,7,4,1,3,-5.22610306279397,-4.45747478271259,1.52654851379237,-0.503507273523787,0.324,0.454894545454545,"Metabolism"
"map00552","map00552","Teichoic acid biosynthesis",41,6,1,0,1,-3.37322484399594,-4.1436336412139,1.53251052513758,0.502710281320123,0.2954,0.454894545454545,"Metabolism"
"map03430","map03430","Mismatch repair",44,13,8,0,8,-6.87190666811403,-6.13508449368859,1.52191744298849,-0.484140698840135,0.3274,0.454894545454545,"Genetic Information Processing"
"map04910","map04910","Insulin signaling pathway",88,4,3,1,2,-2.63681516327518,-3.3575380484212,1.55458937118476,0.463609811378526,0.3064,0.454894545454545,"Organismal Systems"
"map00440","map00440","Phosphonate and phosphinate metabolism",46,3,2,0,2,-3.59679537618204,-2.90878806271071,1.51119670310967,-0.455273169968926,0.343,0.457612121212121,"Metabolism"
"map00052","map00052","Galactose metabolism",78,13,7,1,6,-6.80061346866744,-6.14183697912331,1.51204822640477,-0.435684839967382,0.3418,0.457612121212121,"Metabolism"
"map01502","map01502","Vancomycin resistance",22,6,4,0,4,-4.83433487893216,-4.16286815713238,1.54760141763569,-0.433875747429588,0.3514,0.457612121212121,"Human Diseases"
"map00051","map00051","Fructose and mannose metabolism",114,22,10,1,9,-7.29398175658169,-7.93340490392929,1.52630940747123,0.418934158577312,0.319,0.454894545454545,"Metabolism"
"map00010","map00010","Glycolysis / Gluconeogenesis",107,37,26,5,21,-10.9253268761471,-10.2872979801348,1.54274072506385,-0.41356845362717,0.3522,0.457612121212121,"Metabolism"
"map00523","map00523","Polyketide sugar unit biosynthesis",59,5,1,0,1,-4.40917395139311,-3.78431606795576,1.54706240912448,-0.403899596908294,0.3708,0.457612121212121,"Metabolism"
"map01220","map01220","Degradation of aromatic compounds",215,4,0,0,0,-2.80584379830249,-3.40887236655221,1.53080192693006,0.393929846599463,0.3218,0.454894545454545,NA
"map03030","map03030","DNA replication",60,11,5,0,5,-4.99207699862104,-5.60008946338806,1.55692003314499,0.390522603488395,0.3292,0.454894545454545,"Genetic Information Processing"
"map00600","map00600","Sphingolipid metabolism",52,3,1,0,1,-3.47629447664923,-2.89338926621276,1.54669795748812,-0.376870744293945,0.3826,0.457612121212121,"Metabolism"
"map00780","map00780","Biotin metabolism",24,10,5,0,5,-5.89131642017219,-5.31436234211691,1.53783852178519,-0.375172080736749,0.3854,0.457612121212121,"Metabolism"
"map03440","map03440","Homologous recombination",72,15,6,0,6,-6.00174503958794,-6.54645992155174,1.5258576005212,0.356989329658116,0.351,0.457612121212121,"Genetic Information Processing"
"map01120","map01120","Microbial metabolism in diverse environments",1299,175,87,10,77,-21.8330300718048,-22.3454847104565,1.44778565205121,0.353957533648454,0.366,0.457612121212121,NA
"map05417","map05417","Lipid and atherosclerosis",160,3,3,1,2,-2.39010836474388,-2.91500850729573,1.55581394746011,0.337379764083462,0.3102,0.454894545454545,"Human Diseases"
"map05012","map05012","Parkinson disease",209,5,1,0,1,-3.25667677710539,-3.76446020807272,1.52000168263217,0.334067676877838,0.3386,0.457612121212121,"Human Diseases"
"map00240","map00240","Pyrimidine metabolism",114,32,10,0,10,-9.06537580783352,-9.55574325833677,1.51607080817276,0.323446271677947,0.366,0.457612121212121,"Metabolism"
"map00330","map00330","Arginine and proline metabolism",114,14,8,1,7,-5.8617243682982,-6.35069975985941,1.51978765664145,0.321739283395541,0.3644,0.457612121212121,"Metabolism"
"map00350","map00350","Tyrosine metabolism",84,7,2,0,2,-5.01010269576015,-4.5167393168622,1.53384943594196,-0.321650461471125,0.3946,0.457612121212121,"Metabolism"
"map01501","map01501","beta-Lactam resistance",112,17,8,0,8,-6.48367887667463,-6.94432516935454,1.5131117284295,0.304436403488877,0.3652,0.457612121212121,"Human Diseases"
"map02026","map02026","Biofilm formation - Escherichia coli",61,10,7,1,6,-4.86373007068015,-5.32221528763289,1.56337326857236,0.293266634507202,0.3648,0.457612121212121,"Cellular Processes"
"map01100","map01100","Metabolic pathways",4816,593,279,20,259,-41.5017575905057,-41.1530034429059,1.20422449752127,-0.289608912887605,0.3802,0.457612121212121,NA
"map01200","map01200","Carbon metabolism",369,99,57,8,49,-17.232401748941,-16.8085562885847,1.49309117111623,-0.283871118224752,0.3974,0.457612121212121,NA
"map05230","map05230","Central carbon metabolism in cancer",49,9,4,1,3,-4.65008760529201,-5.08400284672106,1.53915957375747,0.281916994720536,0.3704,0.457612121212121,"Human Diseases"
"map04112","map04112","Cell cycle - Caulobacter",31,12,7,0,7,-5.46317940581904,-5.86681689799368,1.51220185951597,0.266920378145707,0.3806,0.457612121212121,"Cellular Processes"
"map02020","map02020","Two-component system",520,74,28,2,26,-14.8971917046433,-14.5088427625467,1.50619598883938,-0.257834269228029,0.4064,0.460991044776119,"Environmental Information Processing"
"map00040","map00040","Pentose and glucuronate interconversions",90,5,2,0,2,-4.15000628451372,-3.76864071312273,1.55742068797067,-0.244869979149894,0.443,0.476552112676056,"Metabolism"
"map02025","map02025","Biofilm formation - Pseudomonas aeruginosa",90,11,2,0,2,-5.20528207596903,-5.56919451824315,1.54049373251425,0.236231043718805,0.39,0.457612121212121,"Cellular Processes"
"map00400","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis",74,10,4,0,4,-5.0735469440699,-5.37079596573752,1.53698409910132,0.193397590672161,0.4022,0.459657142857143,"Metabolism"
"map01212","map01212","Fatty acid metabolism",84,18,11,1,10,-7.4814045331057,-7.19072205032155,1.51762107209636,-0.191538248992959,0.4452,0.476552112676056,NA
"map00511","map00511","Other glycan degradation",22,4,1,0,1,-3.66983256684573,-3.37832373065881,1.52929793080546,-0.19061611888364,0.4634,0.489144444444444,"Metabolism"
"map00860","map00860","Porphyrin metabolism",142,20,9,0,9,-7.25367169382124,-7.53732397832153,1.52958826927354,0.185443553797002,0.421,0.470529411764706,"Metabolism"
"map01110","map01110","Biosynthesis of secondary metabolites",2198,239,120,14,106,-25.8978148595951,-26.1216903488825,1.4316969861324,0.156370720519724,0.4354,0.476120863309353,NA
"map04931","map04931","Insulin resistance",74,4,4,1,3,-3.63450124685261,-3.40219453825107,1.54457889252286,-0.150401322798149,0.4882,0.498029530201342,"Human Diseases"
"map00401","map00401","Novobiocin biosynthesis",30,3,1,0,1,-2.70907730209285,-2.9323543756306,1.52159581241771,0.146738753955283,0.3854,0.457612121212121,"Metabolism"
"map03320","map03320","PPAR signaling pathway",63,4,3,1,2,-3.59864959093041,-3.38009152601058,1.52724349956553,-0.14310623353906,0.4838,0.496875675675676,"Organismal Systems"
"map00960","map00960","Tropane, piperidine and pyridine alkaloid biosynthesis",33,3,1,0,1,-2.70907730209285,-2.92142223009797,1.5316885219376,0.138634536306707,0.394,0.457612121212121,"Metabolism"
"map00785","map00785","Lipoic acid metabolism",31,15,9,2,7,-6.33690368286237,-6.53294866831884,1.54525094549724,0.126869351562432,0.4328,0.476120863309353,"Metabolism"
"map01210","map01210","2-Oxocarboxylic acid metabolism",111,33,16,1,15,-9.47895884413378,-9.66436913951188,1.51286717152907,0.122555567909313,0.4416,0.476552112676056,NA
"map00571","map00571","Lipoarabinomannan (LAM) biosynthesis",14,3,0,0,0,-2.81964818600568,-2.96519389230086,1.54753499978083,0.0940500255669802,0.4142,0.466358518518519,"Metabolism"
"map00572","map00572","Arabinogalactan biosynthesis - Mycobacterium",13,4,1,0,1,-3.22781449621857,-3.35139037748592,1.56973126305173,0.0787242276280446,0.4298,0.476120863309353,"Metabolism"
"map02010","map02010","ABC transporters",515,102,50,3,47,-17.1765537981377,-17.0714432150026,1.49475411383281,-0.0703196480025452,0.473,0.489295238095238,"Environmental Information Processing"
"map00130","map00130","Ubiquinone and other terpenoid-quinone biosynthesis",59,5,1,0,1,-3.89179132365682,-3.78438260632025,1.54078654544637,-0.0697103162368621,0.5092,0.512572185430464,"Metabolism"
"map00310","map00310","Lysine degradation",98,13,9,2,7,-6.00453396865587,-6.10806848860196,1.5142501253694,0.0683734597154733,0.4544,0.482998601398601,"Metabolism"
"map00770","map00770","Pantothenate and CoA biosynthesis",45,14,7,1,6,-6.37419447930643,-6.29854647596755,1.55626281553023,-0.0486087584847346,0.4954,0.502005333333333,"Metabolism"
"map04142","map04142","Lysosome",108,3,0,0,0,-2.98129429080406,-2.91619396374905,1.54043027608936,-0.04226113188341,0.5362,0.5362,"Cellular Processes"
"map05111","map05111","Biofilm formation - Vibrio cholerae",106,13,6,0,6,-6.01348272210149,-6.06718052102449,1.51605110926065,0.0354195175841967,0.4732,0.489295238095238,"Cellular Processes"
"map04122","map04122","Sulfur relay system",29,8,3,0,3,-4.70741000266136,-4.75570730958028,1.51600557526512,0.0318582647101902,0.4696,0.489295238095238,"Genetic Information Processing"
"map00062","map00062","Fatty acid elongation",24,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00073","map00073","Cutin, suberine and wax biosynthesis",15,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00100","map00100","Steroid biosynthesis",34,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00120","map00120","Primary bile acid biosynthesis",18,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00121","map00121","Secondary bile acid biosynthesis",15,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00140","map00140","Steroid hormone biosynthesis",46,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00196","map00196","Photosynthesis - antenna proteins",42,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00232","map00232","Caffeine metabolism",16,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00253","map00253","Tetracycline biosynthesis",17,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00254","map00254","Aflatoxin biosynthesis",20,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00311","map00311","Penicillin and cephalosporin biosynthesis",16,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00331","map00331","Clavulanic acid biosynthesis",5,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00332","map00332","Carbapenem biosynthesis",19,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00361","map00361","Chlorocyclohexane and chlorobenzene degradation",41,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00363","map00363","Bisphenol degradation",2,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00364","map00364","Fluorobenzoate degradation",18,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00365","map00365","Furfural degradation",8,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00402","map00402","Benzoxazinoid biosynthesis",8,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00403","map00403","Indole diterpene alkaloid biosynthesis",13,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00404","map00404","Staurosporine biosynthesis",40,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00405","map00405","Phenazine biosynthesis",16,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00510","map00510","N-Glycan biosynthesis",48,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00512","map00512","Mucin type O-glycan biosynthesis",15,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00513","map00513","Various types of N-glycan biosynthesis",55,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00514","map00514","Other types of O-glycan biosynthesis",31,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00515","map00515","Mannose type O-glycan biosynthesis",21,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00522","map00522","Biosynthesis of 12-, 14- and 16-membered macrolides",59,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00524","map00524","Neomycin, kanamycin and gentamicin biosynthesis",58,2,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00525","map00525","Acarbose and validamycin biosynthesis",27,2,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00531","map00531","Glycosaminoglycan degradation",15,2,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00532","map00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",18,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00533","map00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00534","map00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",22,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00542","map00542","O-Antigen repeat unit biosynthesis",35,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00562","map00562","Inositol phosphate metabolism",77,2,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00563","map00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",35,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00565","map00565","Ether lipid metabolism",31,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00590","map00590","Arachidonic acid metabolism",51,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00591","map00591","Linoleic acid metabolism",27,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00592","map00592","alpha-Linolenic acid metabolism",26,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00601","map00601","Glycosphingolipid biosynthesis - lacto and neolacto series",28,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00603","map00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00604","map00604","Glycosphingolipid biosynthesis - ganglio series",14,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00621","map00621","Dioxin degradation",31,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00622","map00622","Xylene degradation",34,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00623","map00623","Toluene degradation",46,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00624","map00624","Polycyclic aromatic hydrocarbon degradation",43,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00626","map00626","Naphthalene degradation",29,2,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00633","map00633","Nitrotoluene degradation",23,2,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00642","map00642","Ethylbenzene degradation",16,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00643","map00643","Styrene degradation",25,2,2,0,2,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00830","map00830","Retinol metabolism",50,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00901","map00901","Indole alkaloid biosynthesis",58,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00902","map00902","Monoterpenoid biosynthesis",42,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00903","map00903","Limonene degradation",9,1,1,1,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00904","map00904","Diterpenoid biosynthesis",71,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00905","map00905","Brassinosteroid biosynthesis",12,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00906","map00906","Carotenoid biosynthesis",56,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00907","map00907","Pinene, camphor and geraniol degradation",25,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00908","map00908","Zeatin biosynthesis",10,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00909","map00909","Sesquiterpenoid and triterpenoid biosynthesis",75,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00930","map00930","Caprolactam degradation",22,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00940","map00940","Phenylpropanoid biosynthesis",33,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00941","map00941","Flavonoid biosynthesis",27,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00942","map00942","Anthocyanin biosynthesis",16,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00943","map00943","Isoflavonoid biosynthesis",18,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00944","map00944","Flavone and flavonol biosynthesis",15,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00945","map00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis",12,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00946","map00946","Degradation of flavonoids",21,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00950","map00950","Isoquinoline alkaloid biosynthesis",63,2,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00965","map00965","Betalain biosynthesis",8,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00966","map00966","Glucosinolate biosynthesis",21,2,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00980","map00980","Metabolism of xenobiotics by cytochrome P450",34,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00981","map00981","Insect hormone biosynthesis",18,1,1,1,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00982","map00982","Drug metabolism - cytochrome P450",25,1,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00984","map00984","Steroid degradation",15,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
