"Site","Group","N_nodes","N_edges","Density","Avg_degree","Clustering_coef"
"Gut","WT_Control",20,73,0.384210526315789,7.3,1
"Gut","DB_Control",18,46,0.300653594771242,5.11111111111111,1
"Gut","DB_Treated",17,46,0.338235294117647,5.41176470588235,1
"Fecal","WT_Control",19,55,0.321637426900585,5.78947368421053,1
"Fecal","DB_Control",18,52,0.339869281045752,5.77777777777778,1
"Fecal","DB_Treated",19,56,0.327485380116959,5.89473684210526,1
"Lung","WT_Control",22,96,0.415584415584416,8.72727272727273,1
"Lung","DB_Control",23,163,0.644268774703557,14.1739130434783,1
"Lung","DB_Treated",21,142,0.676190476190476,13.5238095238095,1
"Oral","WT_Control",7,11,0.523809523809524,3.14285714285714,1
"Oral","DB_Control",7,9,0.428571428571429,2.57142857142857,1
"Oral","DB_Treated",7,9,0.428571428571429,2.57142857142857,1
