"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045335","CC","GO:0045335","phagocytic vesicle","6/117","139/19869",0.000174124067886253,0.00242032454361892,0.00173207625423694,"CORO1A/GSN/ACTG1/PLD4/VAMP8/TAP1",6
"GO:0030863","CC","GO:0030863","cortical cytoskeleton","5/117","108/19869",0.000446877488577112,0.00591580675354463,0.00423357620757264,"CORO1A/COTL1/GSN/ACTB/CAPZB",5
"GO:0005884","CC","GO:0005884","actin filament","5/117","114/19869",0.000572304258472105,0.00695363512490373,0.00497628564409998,"CORO1A/COTL1/ACTG1/ACTB/TWF2",5
"GO:0005759","CC","GO:0005759","mitochondrial matrix","10/117","483/19869",0.000575300747743834,0.00695363512490373,0.00497628564409998,"C1QBP/SLC25A5/IDH2/PARK7/HSPD1/MDH2/TUFM/NDUFS8/ECHS1/VDAC1",10
"GO:0036464","CC","GO:0036464","cytoplasmic ribonucleoprotein granule","7/117","248/19869",0.0006709582643077,0.00777193322823086,0.00556189087518225,"TUBA1A/TUBB/PSMA4/ACTB/CTSH/LSM4/SNRPG",7
"GO:0035770","CC","GO:0035770","ribonucleoprotein granule","7/117","265/19869",0.000988958720633276,0.010997220973442,0.00787002939788165,"TUBA1A/TUBB/PSMA4/ACTB/CTSH/LSM4/SNRPG",7
"GO:0034663","CC","GO:0034663","endoplasmic reticulum chaperone complex","2/117","11/19869",0.00182637876019449,0.0195282036666949,0.0139751249261845,"PPIB/PDIA6",2
"GO:0035578","CC","GO:0035578","azurophil granule lumen","4/117","91/19869",0.00205795288545006,0.019866777414334,0.0142174211711818,"PLAC8/TUBB/GDI2/PA2G4",4
"GO:0034709","CC","GO:0034709","methylosome","2/117","12/19869",0.0021832310578106,0.019866777414334,0.0142174211711818,"SNRPE/SNRPG",2
"GO:0005766","CC","GO:0005766","primary lysosome","5/117","155/19869",0.00225071716567265,0.019866777414334,0.0142174211711818,"PLAC8/TUBB/GDI2/VAMP8/PA2G4",5
"GO:0042582","CC","GO:0042582","azurophil granule","5/117","155/19869",0.00225071716567265,0.019866777414334,0.0142174211711818,"PLAC8/TUBB/GDI2/VAMP8/PA2G4",5
"GO:0009295","CC","GO:0009295","nucleoid","3/117","45/19869",0.0023582865276008,0.019866777414334,0.0142174211711818,"SLC25A5/TUFM/VDAC1",3
"GO:0042645","CC","GO:0042645","mitochondrial nucleoid","3/117","45/19869",0.0023582865276008,0.019866777414334,0.0142174211711818,"SLC25A5/TUFM/VDAC1",3
"GO:0046540","CC","GO:0046540","U4/U6 x U5 tri-snRNP complex","3/117","45/19869",0.0023582865276008,0.019866777414334,0.0142174211711818,"LSM4/SNRPE/SNRPG",3
"GO:0097526","CC","GO:0097526","spliceosomal tri-snRNP complex","3/117","46/19869",0.00251207653016571,0.0204152867627064,0.0146099553129554,"LSM4/SNRPE/SNRPG",3
"GO:0005687","CC","GO:0005687","U4 snRNP","2/117","13/19869",0.00257026991616808,0.0204152867627064,0.0146099553129554,"SNRPE/SNRPG",2
