"Genus","Degree","Betweenness","Closeness","Eigenvector","Degree_scaled","Betweenness_scaled","Closeness_scaled","Eigenvector_scaled","Is_hub"
"Lactococcus",2,10,0.0372159193592105,0.246190416630477,-0.511766315719159,-0.102794760217367,0.136400103935538,-0.445338500398868,FALSE
"Christensenellaceae_R-7_group",2,10,0.0270616027152963,0.0050104973886005,-0.511766315719159,-0.102794760217367,-1.11226760675828,-0.993299572598247,FALSE
"Mucispirillum",5,38,0.0502094406574339,0.883784657283709,1.79118210501706,2.05589520434734,1.73420240440131,1.00327639604326,TRUE
"Lactobacillus",2,28,0.0460317831802938,0.255511287686678,-0.511766315719159,1.28493450271709,1.22047940550607,-0.424161469931976,FALSE
"Eubacterium_ventriosum_group",2,18,0.033099702921557,0.0187805312062585,-0.511766315719159,0.513973801086836,-0.369767542412719,-0.962014038882738,FALSE
"Lachnoclostridium",4,0,0.039517856723882,0.997299058301596,1.02353263143832,-0.873755461847621,0.419467390499583,1.26118125432233,TRUE
"Odoribacter",4,8,0.0400246608387446,0.965408388399482,1.02353263143832,-0.256986900543418,0.481788662926613,1.18872561320739,TRUE
"Desulfovibrio",3,0,0.0313140699660716,0.796321138946166,0.25588315785958,-0.873755461847621,-0.589345313409431,0.804559175151815,FALSE
"Bacteroides",1,0,0.0278193736859435,0.066399610059228,-1.2794157892979,-0.873755461847621,-1.01908515280011,-0.853823433348738,FALSE
"Parabacteroides",1,0,0.0220780615113928,0.00124195739378581,-1.2794157892979,-0.873755461847621,-1.72508944444994,-1.00186170008662,FALSE
"GCA-900066575",4,0,0.0392108426747828,1,1.02353263143832,-0.873755461847621,0.381714133113307,1.2673177971724,TRUE
"Enterococcus",2,24,0.0396970526321411,0.0704761539416954,-0.511766315719159,0.976550222064988,0.44150295944806,-0.844561520650009,FALSE
