"Genus","Community"
"Enterobacter",1
"Ellin6067",1
"Pedosphaeraceae",2
"Pseudarthrobacter",2
"Ilumatobacter",2
"Virgisporangium",2
"Dongia",2
"IMCC26256",2
"Ruminococcus_gauvreauii_group",1
